timestamp,tt,rh,pp,ws,wd,sr,rr
2024-12-24 08:50:00+00,24.28,85.9,959.4531,0.603,209.3,35.7,0.0
2024-12-24 09:00:00+00,24.13,87.6,959.5607,0.307,177.3,48.36,0.8
2024-12-24 09:10:00+00,24.09,88.8,959.6904,0.906,52.58,43.48,0.6
2024-12-24 09:20:00+00,24.12,89.2,959.7088,0.786,109.8,39.11,0.2
2024-12-24 09:30:00+00,24.19,89.4,959.9792,0.68,111.0,24.41,0.2
2024-12-24 09:40:00+00,24.07,89.5,959.8083,0.433,105.6,17.14,0.0
2024-12-24 09:50:00+00,24.04,89.8,960.1146,0.258,131.8,6.363,0.0
2024-12-24 10:00:00+00,23.96,89.7,960.2722,0.455,92.8,4.874,0.2
2024-12-24 10:10:00+00,23.91,89.6,960.3934,0.467,176.5,4.308,0.0
2024-12-24 10:20:00+00,23.98,89.9,960.7586,0.974,208.8,1.77,0.2
2024-12-24 10:30:00+00,24.03,90.4,961.1906,1.295,212.5,0.311,0.8
2024-12-24 10:40:00+00,23.74,90.7,961.2355,0.641,128.2,0.0,0.6
2024-12-24 10:50:00+00,23.56,91.0,961.0518,0.988,52.19,0.0,0.2
2024-12-24 11:00:00+00,23.43,91.1,961.1598,0.787,142.0,0.0,0.2
2024-12-24 11:10:00+00,23.48,91.2,961.4523,0.0,273.0,0.0,0.2
2024-12-24 11:20:00+00,23.56,91.3,961.8262,0.955,184.1,0.0,0.2
2024-12-24 11:30:00+00,23.6,91.5,962.2093,1.118,179.1,0.0,0.2
2024-12-24 11:40:00+00,23.58,91.6,962.4642,0.96,168.4,0.0,0.6
2024-12-24 11:50:00+00,23.42,91.7,962.5596,0.575,163.0,0.0,0.8
2024-12-24 12:00:00+00,23.32,91.8,962.5499,0.289,48.69,0.0,0.8
2024-12-24 12:10:00+00,23.25,91.9,962.6578,0.019,80.3,0.0,0.8
2024-12-24 12:20:00+00,23.3,92.1,962.7921,0.306,122.8,0.0,0.8
2024-12-24 12:30:00+00,23.29,92.1,962.8995,0.321,152.3,0.0,0.8
2024-12-24 12:40:00+00,23.26,92.1,962.9402,0.352,142.8,0.0,1.2
2024-12-24 12:50:00+00,23.28,92.2,962.9458,0.021,74.19,0.0,1.0
2024-12-24 13:00:00+00,23.28,92.3,962.9874,0.028,23.14,0.0,1.0
2024-12-24 13:10:00+00,23.3,92.3,963.0075,0.024,63.38,0.0,0.6
2024-12-24 13:20:00+00,23.31,92.4,963.0013,0.0,88.2,0.0,0.6
2024-12-24 13:30:00+00,23.32,92.4,963.0727,0.0,126.2,0.0,0.4
2024-12-24 13:40:00+00,23.33,92.5,963.1877,0.0,147.8,0.0,0.6
2024-12-24 13:50:00+00,23.38,92.5,963.3318,0.0,155.8,0.0,1.0
2024-12-24 14:00:00+00,23.32,92.5,963.433,0.0,71.65,0.0,0.4
2024-12-24 14:10:00+00,23.3,92.6,963.5258,0.062,79.91,0.0,0.4
2024-12-24 14:20:00+00,23.3,92.6,963.6026,0.0,221.6,0.0,0.2
2024-12-24 14:30:00+00,23.35,92.7,963.607,0.0,335.4,0.0,0.2
2024-12-24 14:40:00+00,23.33,92.7,963.6227,0.0,306.0,0.0,0.2
2024-12-24 14:50:00+00,23.35,92.7,963.5841,0.0,283.0,0.0,0.2
2024-12-24 15:00:00+00,23.41,92.7,963.5752,0.161,244.8,0.0,0.0
2024-12-24 15:10:00+00,23.42,92.8,963.5318,0.072,265.4,0.0,0.0
2024-12-24 15:20:00+00,23.39,92.8,963.3789,0.046,292.7,0.0,0.2
2024-12-24 15:30:00+00,23.33,92.8,963.2571,0.466,289.5,0.0,0.0
2024-12-24 15:40:00+00,23.32,92.8,963.1711,0.339,299.3,0.0,0.2
2024-12-24 15:50:00+00,23.29,92.9,963.1059,0.283,289.7,0.0,0.0
2024-12-24 16:00:00+00,23.24,92.9,963.0673,0.152,319.8,0.0,0.0
2024-12-24 16:10:00+00,23.16,92.9,963.049,0.028,288.7,0.0,0.2
2024-12-24 16:20:00+00,22.92,92.8,962.9934,0.546,298.6,0.0,0.0
2024-12-24 16:30:00+00,22.69,92.7,962.9438,0.37,288.0,0.0,0.0
2024-12-24 16:40:00+00,22.59,92.7,962.8362,0.248,281.0,0.0,0.0
2024-12-24 16:50:00+00,22.51,92.5,962.6657,0.399,325.1,0.0,0.0
2024-12-24 17:00:00+00,22.51,92.2,962.5199,0.132,261.3,0.0,0.0
2024-12-24 17:10:00+00,22.48,91.9,962.3822,0.362,278.5,0.0,0.0
2024-12-24 17:20:00+00,22.49,91.6,962.2093,0.58,302.5,0.019,0.0
2024-12-24 17:30:00+00,22.6,90.9,962.0046,0.726,298.7,0.017,0.0
2024-12-24 17:40:00+00,22.65,90.3,961.8233,0.771,294.5,0.056,0.0
2024-12-24 17:50:00+00,22.67,90.0,961.6753,0.524,297.3,0.0,0.0
2024-12-24 18:00:00+00,22.65,90.1,961.5086,0.692,298.0,0.0,0.0
2024-12-24 18:10:00+00,22.62,90.3,961.4134,0.15,308.2,0.0,0.0
2024-12-24 18:20:00+00,22.51,90.5,961.3586,0.394,299.6,0.0,0.0
2024-12-24 18:30:00+00,22.53,90.6,961.3092,0.554,295.5,0.0,0.0
2024-12-24 18:40:00+00,22.53,90.7,961.2498,0.191,311.4,0.0,0.0
2024-12-24 18:50:00+00,22.52,90.8,961.1569,0.314,307.5,0.0,0.0
2024-12-24 19:00:00+00,22.52,90.9,961.1001,0.161,313.4,0.0,0.0
2024-12-24 19:10:00+00,22.49,91.0,961.1018,0.318,326.0,0.0,0.0
2024-12-24 19:20:00+00,22.49,91.1,961.039,0.181,323.3,0.0,0.0
2024-12-24 19:30:00+00,22.44,91.0,960.9554,0.631,305.6,0.06,0.0
2024-12-24 19:40:00+00,22.56,90.5,960.9401,0.61,300.4,0.28,0.0
2024-12-24 19:50:00+00,22.67,89.5,960.8712,0.379,297.2,1.417,0.0
