date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-18 02:40:00+00,26.91,80.5,962.0691,2.108,287.5,578.8,0.0,0
2024-12-18 02:50:00+00,26.93,79.26,961.903,1.535,270.6,483.9,0.0,0
2024-12-18 03:00:00+00,26.78,76.91,961.798,1.882,294.3,245.5,0.0,0
2024-12-18 03:10:00+00,26.49,77.15,961.809,2.193,291.2,333.1,0.0,0
2024-12-18 03:20:00+00,27.32,75.97,961.7009,2.369,284.8,822.0,0.0,0
2024-12-18 03:30:00+00,27.87,73.57,961.6371,2.323,267.5,838.0,0.0,0
2024-12-18 03:40:00+00,28.38,72.09,961.6092,2.803,290.8,780.2,0.0,0
2024-12-18 03:50:00+00,28.6,71.07,961.499,3.03,280.4,229.3,0.0,0
2024-12-18 04:00:00+00,28.63,70.05,961.4447,2.833,278.0,236.9,0.0,0
2024-12-18 04:10:00+00,28.94,67.76,961.2842,2.88,285.6,406.1,0.0,0
2024-12-18 04:20:00+00,29.46,66.87,961.3263,2.112,302.1,577.2,0.0,0
2024-12-18 04:30:00+00,29.21,66.69,961.3699,3.058,286.5,668.2,0.0,0
2024-12-18 04:40:00+00,29.7,66.21,961.2406,2.197,264.9,1083.0,0.0,0
2024-12-18 04:50:00+00,29.2,66.09,961.1139,2.397,273.8,557.9,0.0,0
2024-12-18 05:00:00+00,28.64,69.36,961.0215,1.82,272.5,567.4,0.0,0
2024-12-18 05:10:00+00,28.29,74.47,960.919,1.768,269.3,214.7,0.8,0
2024-12-18 05:20:00+00,26.98,82.5,960.7534,1.851,278.4,862.0,0.0,0
2024-12-18 05:30:00+00,28.13,78.94,960.47,1.868,272.7,843.0,0.0,0
2024-12-18 05:40:00+00,28.04,77.42,960.3238,1.927,271.9,265.3,0.0,0
2024-12-18 05:50:00+00,27.65,75.8,960.1957,3.354,280.2,525.7,0.0,0
2024-12-18 06:00:00+00,27.83,73.2,960.0763,3.339,278.2,546.3,0.0,0
2024-12-18 06:10:00+00,28.06,73.61,959.9134,2.427,289.5,806.0,0.0,0
2024-12-18 06:20:00+00,28.7,71.14,959.7067,3.296,284.1,817.0,0.0,0
2024-12-18 06:30:00+00,28.54,71.71,959.4415,2.137,273.3,717.6,0.0,0
2024-12-18 06:40:00+00,29.46,70.56,959.3197,2.801,277.0,944.0,0.0,0
2024-12-18 06:50:00+00,28.97,70.84,959.2523,1.848,274.7,608.3,0.0,0
2024-12-18 07:00:00+00,29.48,72.77,959.1378,1.739,264.9,959.0,0.0,0
