date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,26.61,85.0,995.785,0.889,141.7,235.2,0.0
2024-01-01 00:10:00+00,27.27,81.9,995.9337,0.697,206.0,289.4,0.0
2024-01-01 00:20:00+00,27.7,80.5,996.0529,0.792,224.9,326.0,0.0
2024-01-01 00:30:00+00,28.2,79.82,996.2302,0.567,248.4,356.5,0.0
2024-01-01 00:40:00+00,28.57,78.4,996.4308,0.972,273.5,398.9,0.0
2024-01-01 00:50:00+00,28.56,77.15,996.4396,0.898,228.2,420.9,0.0
2024-01-01 01:00:00+00,28.83,76.93,996.4846,0.933,270.0,439.3,0.0
2024-01-01 01:10:00+00,29.14,75.69,996.6119,0.303,225.6,495.3,0.0
2024-01-01 01:20:00+00,29.72,72.46,996.6936,0.79,185.8,580.8,0.0
2024-01-01 01:30:00+00,30.14,70.63,996.7839,0.663,135.5,618.9,0.0
2024-01-01 01:40:00+00,30.07,70.9,996.8929,0.915,115.5,593.2,0.0
2024-01-01 01:50:00+00,30.26,70.04,996.9254,0.792,165.6,270.1,0.0
2024-01-01 02:00:00+00,30.02,69.92,996.955,0.291,149.1,250.1,0.0
2024-01-01 02:10:00+00,29.9,71.53,997.0294,0.63,217.6,261.0,0.0
2024-01-01 02:20:00+00,29.97,71.9,997.0259,0.854,288.7,242.6,0.0
2024-01-01 02:30:00+00,30.0,71.05,996.8314,0.511,156.7,284.9,0.0
2024-01-01 02:40:00+00,30.44,68.74,996.649,0.822,230.4,669.4,0.0
2024-01-01 02:50:00+00,30.8,66.96,996.507,0.755,222.3,886.0,0.0
2024-01-01 03:00:00+00,31.48,65.01,996.3658,1.211,253.4,927.0,0.0
2024-01-01 03:10:00+00,31.86,62.49,996.0888,0.436,123.3,901.0,0.0
2024-01-01 03:20:00+00,32.34,61.11,995.979,1.099,225.5,943.0,0.0
2024-01-01 03:30:00+00,32.2,61.14,995.9541,0.463,122.5,747.3,0.0
2024-01-01 03:40:00+00,32.45,59.92,995.9196,0.691,215.3,580.5,0.0
2024-01-01 03:50:00+00,32.2,62.85,995.7454,1.029,247.4,279.3,0.0
2024-01-01 04:00:00+00,31.74,64.53,995.6305,1.234,204.1,558.5,0.0
2024-01-01 04:10:00+00,32.35,63.87,995.4922,1.7,252.2,678.6,0.0
2024-01-01 04:20:00+00,32.24,66.08,995.3031,1.414,232.8,348.4,0.0
2024-01-01 04:30:00+00,31.94,66.52,995.1611,0.792,221.0,280.6,0.0
2024-01-01 04:40:00+00,32.17,65.78,994.9283,1.55,237.0,602.3,0.0
2024-01-01 04:50:00+00,32.65,64.33,994.8234,2.246,232.6,584.0,0.0
2024-01-01 05:00:00+00,33.09,63.53,994.7445,2.051,228.9,471.6,0.0
2024-01-01 05:10:00+00,32.38,66.0,994.677,2.699,226.9,503.7,0.0
2024-01-01 05:20:00+00,32.57,65.34,994.5334,2.802,230.0,706.9,0.0
2024-01-01 05:30:00+00,32.83,63.52,994.3671,2.909,220.1,1063.0,0.0
2024-01-01 05:40:00+00,33.23,61.5,994.1752,2.784,214.2,1016.0,0.0
2024-01-01 05:50:00+00,33.22,61.91,994.0986,2.906,216.6,945.0,0.0
2024-01-01 06:00:00+00,33.11,62.4,993.8291,2.616,219.4,420.6,0.0
2024-01-01 06:10:00+00,33.25,61.31,993.631,2.535,201.0,557.0,0.0
2024-01-01 06:20:00+00,32.93,60.98,993.4281,3.098,219.4,940.0,0.0
2024-01-01 06:30:00+00,32.8,61.54,993.3821,2.677,219.6,906.0,0.0
2024-01-01 06:40:00+00,32.65,61.39,993.3513,2.362,214.7,756.2,0.0
2024-01-01 06:50:00+00,32.47,62.1,993.2853,2.384,218.4,524.5,0.0
2024-01-01 07:00:00+00,32.65,61.79,993.194,2.211,216.1,908.0,0.0
2024-01-01 07:10:00+00,32.59,61.95,993.1814,2.544,227.1,759.8,0.0
2024-01-01 07:20:00+00,32.34,61.55,992.9534,2.661,217.2,699.7,0.0
2024-01-01 07:30:00+00,32.37,62.25,992.8118,2.834,224.9,660.4,0.0
2024-01-01 07:40:00+00,32.42,62.07,992.9062,2.528,229.8,700.3,0.0
2024-01-01 07:50:00+00,32.24,62.1,993.1199,3.196,210.2,675.2,0.0
2024-01-01 08:00:00+00,32.5,62.7,993.0451,2.238,212.3,650.1,0.0
2024-01-01 08:10:00+00,32.1,63.76,992.7574,2.722,213.5,616.8,0.0
2024-01-01 08:20:00+00,32.05,64.15,992.8346,2.62,234.9,567.5,0.0
2024-01-01 08:30:00+00,32.2,64.69,992.7661,2.367,224.8,530.3,0.0
2024-01-01 08:40:00+00,32.28,64.92,992.6062,2.364,213.2,516.0,0.0
2024-01-01 08:50:00+00,32.0,64.79,992.4791,2.419,219.3,369.1,0.0
2024-01-01 09:00:00+00,31.72,65.57,992.4184,2.419,212.9,405.5,0.0
2024-01-01 09:10:00+00,31.62,66.47,992.5905,2.18,214.0,397.1,0.0
