date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 08:40:00+00,28.4,78.74,991.1606,2.033,249.5,202.5,0.0,0
2024-12-04 08:50:00+00,28.26,79.73,991.2576,1.636,229.9,184.5,0.0,0
2024-12-04 09:00:00+00,28.31,79.89,991.3399,1.069,213.9,155.9,0.0,0
2024-12-04 09:10:00+00,28.28,80.3,991.3284,1.477,226.4,143.0,0.0,0
2024-12-04 09:20:00+00,28.21,81.2,991.3841,1.595,223.9,126.0,0.0,0
2024-12-04 09:30:00+00,28.04,82.0,991.486,1.768,235.2,89.3,0.0,0
2024-12-04 09:40:00+00,27.86,82.7,991.608,1.961,227.4,74.0,0.0,0
2024-12-04 09:50:00+00,27.72,83.6,991.8109,1.668,226.9,40.49,0.0,0
2024-12-04 10:00:00+00,27.59,84.2,991.9199,1.025,230.0,29.53,0.0,0
2024-12-04 10:10:00+00,27.53,84.6,991.9776,1.28,237.8,31.18,0.0,0
2024-12-04 10:20:00+00,27.46,85.1,992.1107,1.205,237.4,28.8,0.0,0
2024-12-04 10:30:00+00,27.33,85.4,992.2998,1.426,244.0,12.43,0.0,0
2024-12-04 10:40:00+00,27.26,85.9,992.359,0.973,241.9,5.516,0.0,0
2024-12-04 10:50:00+00,27.12,86.6,992.5539,0.593,260.4,0.37,0.0,0
2024-12-04 11:00:00+00,27.03,87.2,992.7934,0.555,166.7,0.0,0.0,0
2024-12-04 11:10:00+00,26.56,89.8,992.8551,0.702,170.3,0.0,0.0,0
2024-12-04 11:20:00+00,26.28,91.6,992.8531,0.86,199.8,0.0,0.0,0
2024-12-04 11:30:00+00,26.04,92.3,992.9157,0.783,231.4,0.0,0.0,0
2024-12-04 11:40:00+00,25.99,92.9,993.1614,0.513,210.5,0.0,0.0,0
2024-12-04 11:50:00+00,25.93,93.8,993.3147,0.713,210.3,0.0,0.0,0
2024-12-04 12:00:00+00,25.71,95.6,993.3553,0.644,160.1,0.0,0.8,0
2024-12-04 12:10:00+00,25.46,91.77110679407049,993.4336,0.242,132.8,0.0,0.6,1
2024-12-04 12:20:00+00,25.29,98.2,993.5173,0.702,256.0,0.0,0.0,0
2024-12-04 12:30:00+00,25.07,98.2,993.5998,0.204,250.1,0.0,0.0,0
2024-12-04 12:40:00+00,25.12,97.9,993.7461,0.057,246.6,0.0,0.0,0
2024-12-04 12:50:00+00,24.98,98.2,993.7798,0.201,254.2,0.0,0.0,0
2024-12-04 13:00:00+00,24.98,98.2,993.7694,0.211,217.4,0.0,0.0,0
2024-12-04 13:10:00+00,24.97,98.2,993.6978,0.262,240.3,0.0,0.0,0
2024-12-04 13:20:00+00,25.03,98.2,993.7179,0.047,214.6,0.0,0.0,0
2024-12-04 13:30:00+00,25.04,98.2,993.6834,0.243,288.8,0.0,0.0,0
2024-12-04 13:40:00+00,25.04,98.2,993.6122,0.018,120.1,0.0,0.0,0
2024-12-04 13:50:00+00,25.0,98.2,993.5121,0.162,95.5,0.0,0.0,0
2024-12-04 14:00:00+00,24.84,98.2,993.4556,0.234,68.96,0.0,0.0,0
2024-12-04 14:10:00+00,25.35,95.2,993.2842,0.6445000000000001,201.64999999999998,2.2359999999999998,0.0,0
2024-12-04 14:20:00+00,25.35,95.2,993.2842,0.6445000000000001,201.64999999999998,2.2359999999999998,0.0,0
2024-12-04 14:30:00+00,24.83,98.2,993.3826,0.128,183.3,0.0,1.6,0
2024-12-04 14:40:00+00,24.84,98.2,993.1701,0.135,250.7,0.0,0.0,0
2024-12-04 14:50:00+00,24.82,98.2,993.0926,0.0,192.3,0.0,0.0,0
2024-12-04 15:00:00+00,24.76,98.2,993.0161,0.003,169.0,0.0,0.0,0
2024-12-04 15:10:00+00,24.67,98.2,992.9062,0.147,305.8,0.0,0.0,0
2024-12-04 15:20:00+00,24.6,98.2,992.8079,0.0,162.4,0.0,0.0,0
2024-12-04 15:30:00+00,24.56,98.2,992.7634,0.0,267.0,0.0,0.0,0
2024-12-04 15:40:00+00,24.53,98.2,992.7309,0.0,282.3,0.0,0.0,0
