timestamp,tt,rh,pp,ws,wd,sr,rr
2025-10-13T05:40:51.425978,29.48,50.1,995.5699,0.943,147.6,719.4,0.0
2025-10-13T05:40:52.426124,29.53,50.4,995.38,0.835,181.3,755.9,0.0
2025-10-13T05:40:53.427063,29.91,49.1,995.215,1.714,160.3,788.1,0.0
2025-10-13T05:40:54.428468,30.13,48.7,995.065,1.267,228.0,816.0,0.0
2025-10-13T05:40:55.428818,30.89,46.9,994.8449,1.492,253.4,826.0,0.0
2025-10-13T05:40:56.429707,30.87,46.9,994.71,1.387,251.7,845.0,0.0
2025-10-13T05:40:57.431161,30.94,47.5,994.4899,1.427,250.1,693.5,0.0
2025-10-13T05:40:58.432222,31.17,46.6,994.3199,1.348,232.3,479.8,0.0
2025-10-13T05:40:59.432968,30.87,47.0,994.1699,2.003,205.0,867.0,0.0
2025-10-13T05:41:00.434042,31.32,45.9,994.005,0.977,183.3,856.0,0.0
2025-10-13T05:41:01.434562,31.38,44.1,993.86,1.577,265.3,879.0,0.0
2025-10-13T05:41:02.436843,32.31,41.8,993.7,1.271,284.6,934.0,0.0
2025-10-13T05:41:03.438379,32.04,42.4,993.6049,1.522,207.6,613.4,0.0
2025-10-13T05:41:04.439361,31.34,39.9,993.5,1.636,168.8,714.5,0.0
2025-10-13T05:41:05.440321,32.14,36.5,993.4149,1.631,145.1,927.0,0.0
2025-10-13T05:41:06.440739,32.23,36.0,993.305,1.777,158.0,911.0,0.0
2025-10-13T05:41:07.441245,32.2,36.1,993.2,1.595,167.5,891.0,0.0
2025-10-13T05:41:08.442330,32.07,36.4,993.1649,1.644,189.1,886.0,0.0
2025-10-13T05:41:09.444052,32.06,37.0,993.09,1.844,170.0,874.0,0.0
2025-10-13T05:41:10.444662,31.91,38.3,992.95,1.685,148.6,848.0,0.0
2025-10-13T05:41:11.445828,32.34,37.3,992.9,1.964,190.1,846.0,0.0
2025-10-13T05:41:12.447396,31.54,38.9,992.8199,1.76,160.7,820.0,0.0
2025-10-13T05:41:13.448383,31.37,41.1,992.5699,1.613,181.1,790.1,0.0
2025-10-13T05:41:14.449517,31.59,40.1,992.5,2.484,204.4,807.0,0.0
2025-10-13T05:41:15.450972,31.06,40.4,992.445,1.506,180.0,753.5,0.0
2025-10-13T05:41:16.452760,31.41,39.4,992.3449,1.428,150.3,695.9,0.0
2025-10-13T05:41:17.453386,31.6,37.8,992.3249,1.42,173.4,656.0,0.0
2025-10-13T05:41:18.454545,31.15,38.7,992.2999,1.388,167.7,620.5,0.0
2025-10-13T05:41:19.456101,31.77,37.5,992.38,1.802,172.3,587.2,0.0
2025-10-13T05:41:20.457434,31.59,36.7,992.4,1.147,178.7,557.0,0.0
2025-10-13T05:41:21.458484,31.11,41.1,992.46,2.095,194.8,514.0,0.0
2025-10-13T05:41:22.459538,30.64,45.4,992.505,2.238,188.1,479.2,0.0
2025-10-13T05:41:23.460635,30.5,47.4,992.5999,2.025,175.4,423.6,0.0
2025-10-13T05:41:24.461823,29.79,49.5,992.7,2.24,190.5,370.3,0.0
2025-10-13T05:41:25.462820,29.13,51.6,992.8099,2.641,176.8,179.3,0.0
2025-10-13T05:41:26.464149,28.35,54.5,992.8699,1.944,182.5,127.7,0.0
2025-10-13T05:41:27.464956,28.43,55.3,992.98,1.188,156.4,124.7,0.0
2025-10-13T05:41:28.466361,28.31,54.4,993.0699,2.041,174.6,95.3,0.0
2025-10-13T05:41:29.467539,27.92,54.9,993.16,1.817,184.7,74.7,0.0
2025-10-13T05:41:30.468285,27.78,54.9,993.25,1.719,176.0,51.2,0.0
2025-10-13T05:41:31.468970,27.54,55.9,993.3199,0.976,164.2,53.5,0.0
2025-10-13T05:41:32.472742,27.39,55.6,993.4149,1.559,174.5,37.4,0.0
