date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,,,,,,,0.0
2024-01-01 00:10:00+00,28.28,81.5,995.3521,0.332,189.9,245.4,0.0
2024-01-01 00:20:00+00,28.51,80.4,995.486,0.129,204.1,286.0,0.0
2024-01-01 00:30:00+00,29.0,78.31,995.6623,0.293,176.4,297.1,0.0
2024-01-01 00:40:00+00,29.11,77.66,995.8883,0.335,141.9,315.7,0.0
2024-01-01 00:50:00+00,29.35,75.54,995.869,0.788,147.4,404.2,0.0
2024-01-01 01:00:00+00,29.49,74.03,995.8819,0.823,173.8,435.3,0.0
2024-01-01 01:10:00+00,29.78,73.11,995.9704,0.237,169.8,509.3,0.0
2024-01-01 01:20:00+00,30.31,70.97,996.1764,0.837,159.0,492.5,0.0
2024-01-01 01:30:00+00,30.27,70.81,996.2871,0.444,233.5,477.5,0.0
2024-01-01 01:40:00+00,30.57,70.18,996.3899,1.024,218.5,489.0,0.0
2024-01-01 01:50:00+00,30.77,70.18,996.3874,0.707,213.0,448.5,0.0
2024-01-01 02:00:00+00,30.49,71.54,996.4064,0.706,192.5,380.5,0.0
2024-01-01 02:10:00+00,30.91,68.14,996.5536,0.554,216.1,621.7,0.0
2024-01-01 02:20:00+00,31.23,66.85,996.4059,0.488,149.9,703.4,0.0
2024-01-01 02:30:00+00,31.44,65.33,996.3076,0.436,142.4,631.0,0.0
2024-01-01 02:40:00+00,31.52,64.91,996.0868,0.974,303.8,714.6,0.0
2024-01-01 02:50:00+00,31.94,63.89,995.8874,0.517,239.1,837.0,0.0
2024-01-01 03:00:00+00,32.39,62.62,995.7422,0.456,152.0,775.1,0.0
2024-01-01 03:10:00+00,31.97,63.42,995.5784,1.067,178.4,768.2,0.0
2024-01-01 03:20:00+00,32.68,61.94,995.4514,1.104,197.5,900.0,0.0
2024-01-01 03:30:00+00,32.89,61.01,995.3478,0.675,241.5,619.4,0.0
2024-01-01 03:40:00+00,32.35,60.38,995.3318,1.201,296.9,220.4,0.0
2024-01-01 03:50:00+00,31.97,62.36,995.1474,0.58,228.9,243.8,0.0
