date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 05:50:00+00,29.8,69.53,991.13,1.43,176.3,226.6,0.0,0
2024-12-04 06:00:00+00,29.53,71.31,991.015,1.797,177.7,206.2,0.0,0
2024-12-04 06:10:00+00,29.4,72.11,990.9,1.347,178.3,146.3,0.0,0
2024-12-04 06:20:00+00,29.27,72.56,990.7599,1.495,176.8,143.5,0.0,0
2024-12-04 06:30:00+00,29.0,72.95,990.63,1.897,206.1,98.7,0.0,0
2024-12-04 06:40:00+00,28.9,74.31,990.465,1.633,176.5,144.2,0.0,0
2024-12-04 06:50:00+00,29.11,73.26,990.4,1.27,185.9,219.4,0.0,0
2024-12-04 07:00:00+00,29.33,71.49,990.4,1.095,178.6,233.6,0.0,0
2024-12-04 07:10:00+00,29.41,71.19,990.4699,0.566,181.2,191.8,0.0,0
2024-12-04 07:20:00+00,29.05,72.65,990.5,1.522,182.7,98.9,0.0,0
2024-12-04 07:30:00+00,28.78,73.21,990.425,1.098,185.9,130.4,0.0,0
2024-12-04 07:40:00+00,28.96,72.54,990.34,1.177,155.4,188.1,0.0,0
2024-12-04 07:50:00+00,29.14,71.64,990.3299,0.917,188.5,164.5,0.0,0
2024-12-04 08:00:00+00,28.93,72.78,990.2399,1.135,156.6,143.3,0.0,0
2024-12-04 08:10:00+00,28.95,72.61,990.2,1.105,189.5,154.8,0.0,0
2024-12-04 08:20:00+00,29.05,72.12,990.2749,0.564,158.6,125.1,0.0,0
2024-12-04 08:30:00+00,29.02,71.28,990.25,0.538,236.7,133.8,0.0,0
2024-12-04 08:40:00+00,28.9,72.33,990.45,0.666,217.7,55.77,0.0,0
2024-12-04 08:50:00+00,28.65,74.44,990.5099,0.485,199.7,60.23,0.0,0
2024-12-04 09:00:00+00,28.06,74.9,990.675,1.129,242.4,13.62,0.0,0
2024-12-04 09:10:00+00,27.05,76.73,990.565,0.899,227.9,7.631,0.0,0
2024-12-04 09:20:00+00,36.40714558435009,98.37710105907328,990.53,0.616,291.3,20.35,0.0,1
2024-12-04 09:30:00+00,26.93,77.06,990.7249,0.857,265.3,19.16,0.0,0
2024-12-04 09:40:00+00,26.82,77.79,990.975,0.825,185.4,9.37,0.0,0
2024-12-04 09:50:00+00,26.74,78.17,991.1449,0.867,231.7,19.93,0.0,0
2024-12-04 10:00:00+00,26.72,78.93,991.2,0.947,294.6,21.23,0.0,0
2024-12-04 10:10:00+00,26.79,79.22,991.2699,0.68,305.0,24.67,0.0,0
2024-12-04 10:20:00+00,26.89,79.83,991.4,0.775,312.4,20.05,0.0,0
2024-12-04 10:30:00+00,26.94,80.5,991.48,0.371,283.4,9.23,0.0,0
2024-12-04 10:40:00+00,26.93,81.6,991.71,0.883,251.6,2.066,0.0,0
2024-12-04 10:50:00+00,26.82,82.4,991.9149,1.065,287.2,0.02,0.0,0
2024-12-04 11:00:00+00,26.72,84.1,992.0099,1.099,298.4,0.0,0.0,0
2024-12-04 11:10:00+00,26.51,86.7,992.0999,1.032,315.6,0.0,0.0,0
2024-12-04 11:20:00+00,26.25,90.0,992.0999,1.389,308.9,0.0,0.0,0
2024-12-04 11:30:00+00,25.91,91.4,992.2399,1.21,279.6,0.0,0.0,0
2024-12-04 11:40:00+00,25.67,92.1,992.495,1.002,287.3,0.0,0.0,0
2024-12-04 11:50:00+00,25.52,92.4,992.66,0.848,256.4,0.0,0.2,0
2024-12-04 12:00:00+00,25.41,91.5,992.7,0.867,256.1,0.0,0.0,0
2024-12-04 12:10:00+00,25.38,90.8,992.7,0.558,238.8,0.0,0.0,0
2024-12-04 12:20:00+00,25.44,90.4,992.7599,0.733,309.7,0.0,0.0,0
2024-12-04 12:30:00+00,25.43,90.7,992.9399,0.604,255.2,0.0,0.0,0
2024-12-04 12:40:00+00,25.45,90.6,993.0,0.734,296.5,0.0,0.0,0
2024-12-04 12:50:00+00,25.55,89.5,993.0,0.773,307.6,0.0,0.0,0
2024-12-04 13:00:00+00,25.55,89.4,992.93,0.495,292.4,0.0,0.0,0
2024-12-04 13:10:00+00,25.48,90.5,992.9,0.788,310.8,0.0,0.0,0
2024-12-04 13:20:00+00,25.47,89.4,992.9,1.099,302.1,0.0,0.0,0
2024-12-04 13:30:00+00,25.55,89.1,992.9,0.313,261.4,0.0,0.0,0
