date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,,,,,,,0.0
2024-01-01 00:10:00+00,25.21,97.1,1003.022,0.477,251.3,147.1,0.0
2024-01-01 00:20:00+00,25.43,96.8,1003.195,0.076,246.6,164.4,0.0
2024-01-01 00:30:00+00,25.81,96.5,1003.3,0.059,156.1,188.4,0.0
2024-01-01 00:40:00+00,26.01,96.0,1003.37,0.0,151.8,230.6,0.0
2024-01-01 00:50:00+00,26.23,93.2,1003.485,0.234,223.4,297.1,0.0
2024-01-01 01:00:00+00,26.69,84.6,1003.535,0.058,164.1,333.4,0.0
2024-01-01 01:10:00+00,27.84,81.7,1003.66,0.167,190.2,366.7,0.0
2024-01-01 01:20:00+00,28.56,78.49,1003.8,0.231,126.3,437.5,0.0
2024-01-01 01:30:00+00,28.99,78.75,1003.8,0.244,138.3,454.6,0.0
2024-01-01 01:40:00+00,29.05,77.47,1003.95,0.6,92.6,459.1,0.0
2024-01-01 01:50:00+00,29.2,76.09,1004.0,0.441,130.7,471.0,0.0
2024-01-01 02:00:00+00,29.46,75.05,1004.04,0.478,139.2,432.6,0.0
2024-01-01 02:10:00+00,29.7,73.58,1004.035,0.65,116.2,483.6,0.0
2024-01-01 02:20:00+00,29.82,71.34,1003.91,0.567,122.1,550.8,0.0
2024-01-01 02:30:00+00,30.16,69.67,1004.075,0.423,116.5,627.1,0.0
2024-01-01 02:40:00+00,30.57,69.42,1004.1,0.375,118.3,686.0,0.0
2024-01-01 02:50:00+00,30.99,67.9,1004.05,0.515,128.8,752.3,0.0
2024-01-01 03:00:00+00,31.19,66.4,1003.955,0.554,121.4,804.0,0.0
2024-01-01 03:10:00+00,31.64,66.27,1003.79,0.501,154.5,775.2,0.0
2024-01-01 03:20:00+00,31.74,66.46,1003.68,0.491,91.8,795.9,0.0
2024-01-01 03:30:00+00,31.81,62.58,1003.545,0.558,189.8,753.6,0.0
2024-01-01 03:40:00+00,31.7,63.29,1003.435,0.344,154.9,642.3,0.0
2024-01-01 03:50:00+00,31.91,65.72,1003.395,0.545,142.7,608.3,0.0
2024-01-01 04:00:00+00,31.84,65.52,1003.245,0.308,190.7,538.3,0.0
2024-01-01 04:10:00+00,32.08,63.93,1003.11,0.44,226.7,601.9,0.0
2024-01-01 04:20:00+00,32.28,64.17,1002.885,0.527,105.7,660.4,0.0
2024-01-01 04:30:00+00,32.23,62.44,1002.72,0.868,148.4,849.0,0.0
2024-01-01 04:40:00+00,32.68,62.51,1002.485,0.366,131.9,910.0,0.0
2024-01-01 04:50:00+00,32.96,61.9,1002.315,1.025,117.2,891.0,0.0
2024-01-01 05:00:00+00,32.86,60.16,1002.145,0.649,145.6,867.0,0.0
