date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 05:20:00+00,27.98,77.55,1001.24,2.264,280.2,422.7,0.0,0
2024-12-04 05:30:00+00,28.36,76.15,1001.165,3.123,293.2,442.1,0.0,0
2024-12-04 05:40:00+00,28.35,77.44,1000.95,2.355,260.6,417.3,0.0,0
2024-12-04 05:50:00+00,28.56,76.13,1000.76,2.657,258.1,447.9,0.0,0
2024-12-04 06:00:00+00,28.68,75.61,1000.65,2.422,254.2,483.1,0.0,0
2024-12-04 06:10:00+00,29.1,74.53,1000.565,2.206,252.9,517.8,0.0,0
2024-12-04 06:20:00+00,29.18,72.83,1000.34,2.756,254.8,474.1,0.0,0
2024-12-04 06:30:00+00,29.13,72.03,1000.095,2.962,280.5,432.1,0.0,0
2024-12-04 06:40:00+00,29.18,73.07,999.935,1.929,323.4,442.0,0.0,0
2024-12-04 06:50:00+00,29.31,71.1,999.68,2.521,299.3,438.1,0.0,0
2024-12-04 07:00:00+00,29.37,71.07,999.5249,2.343,301.0,360.3,0.0,0
2024-12-04 07:10:00+00,29.16,70.13,999.265,2.634,279.5,247.8,0.0,0
2024-12-04 07:20:00+00,29.05,71.15,999.0749,2.027,313.3,236.5,0.0,0
2024-12-04 07:30:00+00,28.99,71.27,998.955,2.191,295.6,261.3,0.0,0
2024-12-04 07:40:00+00,28.97,71.75,998.995,3.152,292.1,281.2,0.0,0
2024-12-04 07:50:00+00,28.87,73.08,998.98,3.048,273.4,296.7,0.0,0
2024-12-04 08:00:00+00,28.98,72.64,998.93,3.003,273.6,300.8,0.0,0
2024-12-04 08:10:00+00,28.98,72.65,998.9,2.827,263.3,222.3,0.0,0
2024-12-04 08:20:00+00,28.87,73.6,998.9,2.724,260.8,155.8,0.0,0
2024-12-04 08:30:00+00,28.6,74.22,998.805,3.412,292.5,66.94,0.0,0
2024-12-04 08:40:00+00,28.09,73.84,998.815,4.959,286.7,149.2,0.0,0
2024-12-04 08:50:00+00,37.21114558435009,98.37710105907328,998.71,3.663,244.0,101.5,0.0,1
2024-12-04 09:00:00+00,25.68,88.8,998.7,2.462,234.4,92.3,0.2,0
2024-12-04 09:10:00+00,25.52,90.7,998.875,1.88,252.4,70.2,0.0,0
2024-12-04 09:20:00+00,25.45,89.7,999.015,2.072,258.5,51.15,0.4,0
2024-12-04 09:30:00+00,25.07,90.3,999.1499,2.532,265.5,35.5,1.0,0
2024-12-04 09:40:00+00,24.78,92.3,999.385,2.039,277.6,26.18,0.4,0
2024-12-04 09:50:00+00,24.66,93.5,999.5599,1.607,286.7,23.68,1.0,0
2024-12-04 10:00:00+00,24.63,94.2,999.5949,1.586,299.9,35.66,0.2,0
2024-12-04 10:10:00+00,24.66,93.7,999.5999,1.656,286.2,25.78,0.2,0
2024-12-04 10:20:00+00,24.77,93.4,999.675,1.921,287.1,26.8,0.0,0
2024-12-04 10:30:00+00,24.87,92.8,999.8449,1.793,275.9,12.48,0.0,0
2024-12-04 10:40:00+00,24.93,92.3,1000.0,1.796,280.4,9.99,0.0,0
2024-12-04 10:50:00+00,24.96,90.8,1000.1,1.796,270.2,4.518,0.0,0
2024-12-04 11:00:00+00,24.88,91.0,1000.21,1.872,273.6,0.262,0.0,0
2024-12-04 11:10:00+00,24.93,89.8,1000.28,2.299,270.6,0.0,0.0,0
2024-12-04 11:20:00+00,25.06,88.6,1000.3,2.085,260.2,0.0,0.0,0
2024-12-04 11:30:00+00,25.07,88.8,1000.3,1.557,252.1,0.0,0.0,0
2024-12-04 11:40:00+00,25.01,89.1,1000.34,1.382,263.8,0.0,0.0,0
2024-12-04 11:50:00+00,24.99,89.2,1000.31,1.267,275.3,0.0,0.0,0
2024-12-04 12:00:00+00,25.0,89.5,1000.325,1.416,259.1,0.0,0.0,0
2024-12-04 12:10:00+00,24.88,90.5,1000.4,1.115,241.3,0.0,0.0,0
2024-12-04 12:20:00+00,24.82,91.0,1000.4,1.161,250.2,0.0,0.0,0
2024-12-04 12:30:00+00,24.76,92.0,1000.38,0.903,259.8,0.0,0.0,0
2024-12-04 12:40:00+00,24.67,92.2,1000.345,1.304,268.6,0.0,0.0,0
2024-12-04 12:50:00+00,24.72,91.2,1000.475,1.368,261.2,0.076,0.0,0
2024-12-04 13:00:00+00,24.81,90.5,1000.5,1.674,252.8,0.0,0.0,0
2024-12-04 13:10:00+00,24.79,90.9,1000.535,1.249,266.9,0.0,0.0,0
2024-12-04 13:20:00+00,24.74,90.6,1000.6,1.366,268.3,0.0,0.0,0
2024-12-04 13:30:00+00,24.77,90.0,1000.67,1.601,276.4,0.061,0.0,0
2024-12-04 13:40:00+00,24.78,90.0,1001.035,1.258,274.1,0.073,0.0,0
2024-12-04 13:50:00+00,24.8,89.1,1001.3,1.252,264.0,0.108,0.0,0
2024-12-04 14:00:00+00,24.94,87.5,1001.385,1.862,278.2,0.678,0.0,0
2024-12-04 14:10:00+00,26.97,82.2,1001.0,0.935,314.9,5.583,0.0,0
2024-12-04 14:20:00+00,26.97,82.2,1001.0,0.935,314.9,5.583,0.0,0
2024-12-04 14:30:00+00,25.69,82.6,1001.495,2.897,261.7,1.684,3.6,0
2024-12-04 14:40:00+00,25.83,82.2,1001.57,2.512,282.8,0.983,0.0,0
2024-12-04 14:50:00+00,25.69,83.2,1001.475,2.483,280.9,0.478,0.0,0
2024-12-04 15:00:00+00,25.56,84.0,1001.4,2.609,272.0,0.459,0.0,0
2024-12-04 15:10:00+00,25.57,84.3,1001.355,2.228,261.9,0.734,0.0,0
2024-12-04 15:20:00+00,25.49,85.4,1001.3,2.244,253.4,0.284,0.0,0
2024-12-04 15:30:00+00,25.45,86.0,1001.25,1.78,261.1,0.0,0.0,0
2024-12-04 15:40:00+00,25.4,86.5,1001.23,2.151,256.1,0.169,0.0,0
2024-12-04 15:50:00+00,25.38,86.9,1001.3,1.965,272.2,0.532,0.0,0
2024-12-04 16:00:00+00,25.3,87.1,1001.3,1.771,264.3,0.492,7.264036120285886,1
2024-12-04 16:10:00+00,25.26,87.8,1001.255,1.371,266.1,0.017,0.0,0
2024-12-04 16:20:00+00,25.12,88.5,1001.17,1.535,249.2,0.0,0.0,0
2024-12-04 16:30:00+00,25.14,88.4,1001.05,1.599,262.4,0.0,0.0,0
2024-12-04 16:40:00+00,25.18,88.2,1000.925,1.719,261.3,0.035,0.0,0
2024-12-04 16:50:00+00,25.21,87.7,1000.75,1.652,254.3,0.14,0.0,0
2024-12-04 17:00:00+00,25.25,87.4,1000.595,1.899,265.0,0.016,0.0,0
2024-12-04 17:10:00+00,25.27,86.9,1000.435,1.969,249.4,0.0,0.0,0
2024-12-04 17:20:00+00,25.27,87.2,1000.235,1.561,274.1,0.0,0.0,0
2024-12-04 17:30:00+00,25.22,87.4,1000.035,1.498,270.2,0.0,0.0,0
2024-12-04 17:40:00+00,25.21,87.6,999.9,1.784,272.6,0.0,0.0,0
2024-12-04 17:50:00+00,25.23,87.8,999.835,1.952,268.1,0.0,0.0,0
2024-12-04 18:00:00+00,25.17,88.0,999.61,1.913,261.2,0.0,0.0,0
2024-12-04 18:10:00+00,25.18,88.2,999.445,1.905,263.9,0.0,0.0,0
2024-12-04 18:20:00+00,25.12,88.6,999.25,2.18,274.9,0.0,0.0,0
2024-12-04 18:30:00+00,25.11,88.9,999.1399,1.711,269.4,0.0,0.0,0
2024-12-04 18:40:00+00,25.01,89.5,998.9899,1.758,275.5,0.0,0.0,0
2024-12-04 18:50:00+00,25.0,89.7,998.9,1.617,269.0,0.0,0.0,0
2024-12-04 19:00:00+00,24.94,90.0,998.85,1.366,271.1,0.0,0.0,0
2024-12-04 19:10:00+00,24.87,90.4,998.7999,1.784,265.6,0.0,0.0,0
2024-12-04 19:20:00+00,24.86,90.4,998.7999,1.798,261.3,0.0,0.0,0
2024-12-04 19:30:00+00,24.89,90.6,998.7,1.859,255.9,0.0,0.0,0
2024-12-04 19:40:00+00,24.89,90.8,998.585,1.587,276.1,0.0,0.0,0
2024-12-04 19:50:00+00,24.84,91.1,998.475,1.08,263.5,0.0,0.0,0
