timestamp,tt,rh,pp,ws,wd,sr,rr
2025-10-13T05:15:04.647138,29.31,64.2,1001.932,0.193,222.3,601.2,0.0
2025-10-13T05:15:05.647321,29.78,63.1,1001.857,0.403,269.8,638.4,0.0
2025-10-13T05:15:06.648190,30.25,61.8,1001.731,0.191,165.8,580.3,0.0
2025-10-13T05:15:07.648758,30.34,60.8,1001.607,0.23,146.2,592.3,0.0
2025-10-13T05:15:08.649551,31.06,59.3,1001.464,0.158,175.8,686.7,0.0
2025-10-13T05:15:09.650302,31.46,58.4,1001.342,0.574,274.5,699.9,0.0
2025-10-13T05:15:10.651268,31.35,57.5,1001.188,0.232,200.6,709.2,0.0
2025-10-13T05:15:11.652238,31.87,57.1,1001.001,0.3,230.6,778.5,0.0
2025-10-13T05:15:12.652415,32.21,54.8,1000.814,0.545,241.5,788.0,0.0
2025-10-13T05:15:13.653245,32.78,54.5,1000.667,0.288,184.6,510.8,0.0
2025-10-13T05:15:14.654058,32.54,54.0,1000.501,0.674,143.4,438.7,0.0
2025-10-13T05:15:15.654522,33.0,52.0,1000.344,0.505,187.3,563.2,0.0
2025-10-13T05:15:16.655343,33.42,51.3,1000.123,0.541,199.2,675.3,0.0
2025-10-13T05:15:17.656429,33.08,50.0,999.88,0.69,157.8,843.0,0.0
2025-10-13T05:15:18.659320,33.34,49.9,999.633,0.764,275.4,812.0,0.0
2025-10-13T05:15:19.657551,33.91,49.3,999.3859,0.381,173.8,737.1,0.0
2025-10-13T05:15:20.658554,33.21,48.9,999.1505,0.572,111.4,428.1,0.0
2025-10-13T05:15:21.659344,33.36,48.2,998.9059,0.356,237.9,835.0,0.0
2025-10-13T05:15:22.660863,33.89,46.3,998.7206,0.378,217.6,867.0,0.0
2025-10-13T05:15:23.661681,33.98,45.5,998.608,0.546,136.5,765.6,0.0
2025-10-13T05:15:24.662443,33.67,46.7,998.5085,0.469,127.4,795.0,0.0
2025-10-13T05:15:25.663426,34.55,45.4,998.4585,0.598,234.2,819.0,0.0
2025-10-13T05:15:26.664422,35.06,45.0,998.2765,0.404,148.5,558.1,0.0
2025-10-13T05:15:27.665061,34.24,46.5,998.1585,0.491,259.3,465.9,0.0
2025-10-13T05:15:28.665601,34.44,45.5,997.992,0.423,158.7,759.2,0.0
2025-10-13T05:15:29.666408,35.15,44.1,997.927,0.382,101.3,552.0,0.0
2025-10-13T05:15:30.667159,34.01,43.6,997.8359,0.532,131.1,546.9,0.0
2025-10-13T05:15:31.668058,34.35,44.2,997.695,0.615,217.6,657.6,0.0
2025-10-13T05:15:32.668790,34.57,44.9,997.631,0.293,154.6,313.7,0.0
2025-10-13T05:15:33.669928,33.97,46.1,997.611,0.144,122.9,151.7,0.0
