date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,24.98,97.3,1001.636,0.0,60.83,78.89,22.8
2024-01-01 00:10:00+00,25.42,97.4,1001.927,0.0,261.5,91.6,0.0
2024-01-01 00:20:00+00,25.34,96.9,1002.028,0.022,316.7,95.9,0.0
2024-01-01 00:30:00+00,25.45,96.4,1002.147,0.0,320.9,104.0,0.0
2024-01-01 00:40:00+00,25.5,95.2,1002.183,0.0,317.2,116.8,0.0
2024-01-01 00:50:00+00,25.88,94.8,1002.296,0.0,158.4,137.5,0.0
2024-01-01 01:00:00+00,25.99,92.3,1002.365,0.029,187.6,153.7,0.0
2024-01-01 01:10:00+00,26.44,90.6,1002.511,0.0,274.6,174.6,0.0
2024-01-01 01:20:00+00,26.92,89.9,1002.66,0.142,269.6,199.9,0.0
2024-01-01 01:30:00+00,27.25,87.5,1002.659,0.0,276.3,205.8,0.0
2024-01-01 01:40:00+00,27.59,86.7,1002.856,0.0,165.6,195.4,0.0
2024-01-01 01:50:00+00,27.8,81.3,1002.931,0.012,181.9,203.9,0.0
2024-01-01 02:00:00+00,28.0,80.9,1002.903,0.023,288.0,218.7,0.0
2024-01-01 02:10:00+00,28.16,84.4,1002.903,0.052,297.4,237.4,0.0
2024-01-01 02:20:00+00,28.42,81.3,1002.799,0.348,287.8,265.1,0.0
2024-01-01 02:30:00+00,28.89,76.18,1002.952,0.407,282.0,288.4,0.0
2024-01-01 02:40:00+00,29.31,76.92,1002.973,0.179,270.2,329.5,0.0
2024-01-01 02:50:00+00,29.56,71.57,1002.957,0.409,268.6,465.5,0.0
2024-01-01 03:00:00+00,30.12,71.74,1002.868,0.223,237.6,588.2,0.0
2024-01-01 03:10:00+00,30.5,70.05,1002.694,0.409,243.0,617.0,0.0
2024-01-01 03:20:00+00,30.96,69.65,1002.588,0.556,271.4,643.9,0.0
2024-01-01 03:30:00+00,31.28,67.86,1002.462,0.932,268.1,620.2,0.0
2024-01-01 03:40:00+00,31.2,65.86,1002.381,0.679,201.4,515.1,0.0
2024-01-01 03:50:00+00,31.57,65.78,1002.272,0.489,112.5,640.1,0.0
2024-01-01 04:00:00+00,32.2,64.57,1002.135,0.464,217.3,810.0,0.0
2024-01-01 04:10:00+00,32.65,60.05,1001.979,0.174,141.7,502.3,0.0
2024-01-01 04:20:00+00,32.52,61.39,1001.781,0.35,151.6,424.3,0.0
2024-01-01 04:30:00+00,32.05,63.22,1001.583,0.075,106.3,377.5,0.0
2024-01-01 04:40:00+00,32.6,62.69,1001.38,0.553,263.4,463.5,0.0
2024-01-01 04:50:00+00,32.54,62.78,1001.148,0.368,264.5,521.2,0.0
2024-01-01 05:00:00+00,32.82,60.67,1001.029,0.773,277.5,569.9,0.0
2024-01-01 05:10:00+00,,,,,,,0.0
2024-01-01 05:20:00+00,32.6,62.73,1000.879,0.621,263.1,409.2,0.0
2024-01-01 05:30:00+00,32.4,62.3,1000.703,0.484,278.0,250.6,0.0
2024-01-01 05:40:00+00,31.84,64.93,1000.456,0.225,202.9,179.6,0.0
2024-01-01 05:50:00+00,31.63,64.44,1000.322,0.559,289.5,203.3,0.0
2024-01-01 06:00:00+00,31.9,63.01,1000.131,0.552,256.1,223.4,0.0
2024-01-01 06:10:00+00,31.95,64.67,1000.008,0.329,261.5,245.7,0.0
2024-01-01 06:20:00+00,32.03,65.48,999.8494,1.149,269.3,274.8,0.0
2024-01-01 06:30:00+00,31.74,67.39,999.6339,1.176,255.2,280.7,0.0
2024-01-01 06:40:00+00,31.72,68.08,999.5394,1.26,275.7,293.9,0.0
2024-01-01 06:50:00+00,31.64,68.18,999.5099,0.547,271.7,285.5,0.0
2024-01-01 07:00:00+00,31.82,67.36,999.4159,0.979,254.5,334.1,0.0
2024-01-01 07:10:00+00,31.89,68.35,999.285,0.93,220.3,344.6,0.0
2024-01-01 07:20:00+00,32.0,67.99,999.1479,0.456,241.9,312.6,0.0
2024-01-01 07:30:00+00,31.89,66.02,999.1878,1.313,250.0,243.8,0.0
2024-01-01 07:40:00+00,31.6,69.0,999.2009,0.951,264.8,192.4,0.0
2024-01-01 07:50:00+00,31.53,68.89,999.139,0.758,203.6,182.2,0.0
2024-01-01 08:00:00+00,31.53,68.87,998.9979,0.764,261.8,179.4,0.0
2024-01-01 08:10:00+00,31.47,68.28,998.848,0.63,230.7,181.6,0.0
2024-01-01 08:20:00+00,31.57,66.82,998.8804,0.542,250.5,186.3,0.0
2024-01-01 08:30:00+00,31.69,67.84,998.8678,0.179,265.4,197.2,0.0
2024-01-01 08:40:00+00,31.84,67.39,998.8724,0.887,251.4,186.9,0.0
2024-01-01 08:50:00+00,31.74,67.48,998.9084,0.902,264.5,170.7,0.0
2024-01-01 09:00:00+00,31.74,68.18,998.9474,0.587,267.3,134.4,0.0
2024-01-01 09:10:00+00,31.47,68.5,998.9244,1.12,261.6,94.4,0.0
2024-01-01 09:20:00+00,31.12,70.32,999.0249,0.963,272.7,44.45,0.0
2024-01-01 09:30:00+00,30.95,72.21,999.0184,0.679,273.2,31.52,0.0
2024-01-01 09:40:00+00,30.83,72.85,999.0409,0.888,226.4,41.53,0.0
2024-01-01 09:50:00+00,30.84,72.57,999.0574,0.796,250.0,64.08,0.0
2024-01-01 10:00:00+00,30.84,72.1,999.0629,0.731,219.1,53.78,0.0
2024-01-01 10:10:00+00,30.65,73.52,999.2574,0.598,221.9,37.41,0.0
2024-01-01 10:20:00+00,30.54,73.99,999.4305,0.484,269.3,24.12,0.0
2024-01-01 10:30:00+00,30.42,74.74,999.5624,0.53,287.9,18.87,0.0
2024-01-01 10:40:00+00,30.29,75.65,999.6979,0.519,221.4,15.54,0.0
2024-01-01 10:50:00+00,30.09,76.87,999.6394,0.346,230.8,11.53,0.0
2024-01-01 11:00:00+00,30.03,77.21,999.672,0.591,205.8,4.88,0.0
2024-01-01 11:10:00+00,30.0,77.68,999.8124,0.518,179.9,0.688,0.0
2024-01-01 11:20:00+00,29.9,77.95,1000.229,0.603,242.1,0.0,0.0
2024-01-01 11:30:00+00,28.81,84.3,1000.356,1.236,271.3,0.0,3.4
2024-01-01 11:40:00+00,27.62,89.8,1000.588,0.453,204.9,0.0,0.4
2024-01-01 11:50:00+00,27.28,93.3,1000.919,0.018,113.8,0.0,0.0
2024-01-01 12:00:00+00,27.14,94.5,1001.069,0.0,122.5,0.0,3.4
2024-01-01 12:10:00+00,27.01,95.7,1001.187,0.0,162.1,0.0,1.4
2024-01-01 12:20:00+00,26.91,95.9,1001.406,0.026,114.7,0.0,1.4
2024-01-01 12:30:00+00,26.81,96.1,1001.703,0.017,136.5,0.0,0.4
2024-01-01 12:40:00+00,26.95,96.5,1001.826,0.0,159.5,0.0,0.0
2024-01-01 12:50:00+00,26.93,96.6,1002.026,0.0,64.38,0.0,0.0
2024-01-01 13:00:00+00,26.97,96.7,1002.228,0.0,155.4,0.0,0.0
2024-01-01 13:10:00+00,27.07,96.8,1002.402,0.0,152.5,0.0,1.2
2024-01-01 13:20:00+00,26.83,96.2,1002.537,0.0,167.6,0.0,1.2
2024-01-01 13:30:00+00,26.49,93.5,1002.623,0.162,162.2,0.0,1.2
2024-01-01 13:40:00+00,26.29,90.3,1002.875,0.283,154.0,0.132,1.2
2024-01-01 13:50:00+00,25.84,90.8,1002.924,0.121,137.0,0.0,0.6
2024-01-01 14:00:00+00,25.46,93.2,1002.925,0.03,118.8,0.0,1.0
2024-01-01 14:10:00+00,25.26,94.8,1002.681,0.0,83.9,0.0,0.6
2024-01-01 14:20:00+00,25.18,95.0,1002.602,0.053,162.5,0.0,0.0
2024-01-01 14:30:00+00,25.13,94.6,1002.466,0.052,181.7,0.0,0.0
2024-01-01 14:40:00+00,25.01,95.1,1002.233,0.0,169.8,0.0,0.0
2024-01-01 14:50:00+00,24.91,95.4,1002.095,0.0,171.6,0.0,0.0
2024-01-01 15:00:00+00,24.92,95.5,1002.136,0.052,155.3,0.0,0.0
2024-01-01 15:10:00+00,25.19,93.7,1002.093,0.0,198.5,0.0,0.0
2024-01-01 15:20:00+00,25.17,94.3,1001.986,0.0,141.2,0.0,0.0
2024-01-01 15:30:00+00,25.12,95.2,1001.712,0.0,190.6,0.0,0.0
2024-01-01 15:40:00+00,25.1,95.6,1001.596,0.0,343.3,0.0,0.0
2024-01-01 15:50:00+00,25.11,96.0,1001.52,0.0,173.4,0.0,0.0
2024-01-01 16:00:00+00,25.12,96.3,1001.521,0.01,158.9,0.0,0.0
2024-01-01 16:10:00+00,25.2,96.5,1001.545,0.0,74.21,0.0,0.0
2024-01-01 16:20:00+00,25.25,96.6,1001.512,0.0,62.52,0.0,0.0
2024-01-01 16:30:00+00,25.26,96.6,1001.429,0.0,58.13,0.0,0.0
2024-01-01 16:40:00+00,25.3,96.7,1001.33,0.0,74.1,0.0,0.0
2024-01-01 16:50:00+00,25.21,96.6,1001.215,0.0,108.9,0.0,0.0
2024-01-01 17:00:00+00,25.19,96.6,1001.156,0.0,27.26,0.0,0.0
2024-01-01 17:10:00+00,25.12,96.5,1001.096,0.0,6.137,0.0,0.0
2024-01-01 17:20:00+00,25.09,96.5,1001.02,0.0,4.478,0.0,0.0
2024-01-01 17:30:00+00,25.14,96.6,1001.01,0.0,2.252,0.0,0.0
2024-01-01 17:40:00+00,25.14,96.6,1000.94,0.092,273.6,0.0,0.0
2024-01-01 17:50:00+00,25.18,96.7,1001.01,0.177,260.0,0.0,0.0
2024-01-01 18:00:00+00,25.27,96.5,1000.94,0.132,294.5,0.0,0.0
2024-01-01 18:10:00+00,25.37,96.4,1000.973,0.084,156.4,0.0,0.0
2024-01-01 18:20:00+00,25.41,95.9,1000.793,0.02,196.3,0.0,0.0
2024-01-01 18:30:00+00,25.44,95.8,1000.52,0.027,172.2,0.0,0.0
2024-01-01 18:40:00+00,25.37,95.7,1000.393,0.0,143.9,0.0,0.0
2024-01-01 18:50:00+00,25.31,95.9,1000.33,0.0,125.0,0.0,0.0
2024-01-01 19:00:00+00,25.22,95.9,1000.327,0.0,169.1,0.0,0.0
2024-01-01 19:10:00+00,25.1,95.7,1000.219,0.125,193.3,0.0,0.0
2024-01-01 19:20:00+00,25.06,95.7,1000.045,0.472,254.3,0.0,0.0
2024-01-01 19:30:00+00,25.04,95.7,999.848,0.666,258.9,0.0,0.0
2024-01-01 19:40:00+00,25.13,96.1,999.9339,0.019,269.7,0.0,0.0
2024-01-01 19:50:00+00,25.15,96.2,999.9739,0.0,141.3,0.0,0.0
2024-01-01 20:00:00+00,25.11,96.3,1000.007,0.589,212.6,0.0,0.0
2024-01-01 20:10:00+00,25.12,96.5,999.9904,0.128,244.8,0.0,0.0
2024-01-01 20:20:00+00,25.16,96.6,999.993,0.0,311.0,0.0,0.0
2024-01-01 20:30:00+00,25.09,96.6,999.9059,0.0,210.2,0.0,0.0
2024-01-01 20:40:00+00,24.91,96.4,999.8324,0.0,140.6,0.0,0.0
2024-01-01 20:50:00+00,24.78,94.8,999.9514,0.053,160.9,0.0,0.0
2024-01-01 21:00:00+00,25.02,91.9,1000.087,0.031,152.7,0.0,0.0
2024-01-01 21:10:00+00,24.82,93.3,1000.161,0.0,121.9,0.0,0.0
2024-01-01 21:20:00+00,24.6,94.4,1000.143,0.0,147.3,0.0,0.0
2024-01-01 21:30:00+00,24.48,95.1,1000.204,0.0,70.52,0.0,0.0
2024-01-01 21:40:00+00,24.46,95.6,1000.279,0.0,61.66,0.0,0.0
2024-01-01 21:50:00+00,24.33,95.6,1000.227,0.0,91.1,0.0,0.0
2024-01-01 22:00:00+00,24.31,96.0,1000.265,0.0,159.8,0.0,0.0
2024-01-01 22:10:00+00,24.36,96.2,1000.382,0.0,23.58,0.0,0.0
2024-01-01 22:20:00+00,24.38,96.1,1000.619,0.013,308.2,0.0,0.0
2024-01-01 22:30:00+00,24.48,96.2,1000.765,0.025,49.17,0.0,0.0
2024-01-01 22:40:00+00,24.52,96.1,1000.825,0.0,58.57,0.0,0.0
2024-01-01 22:50:00+00,24.46,95.8,1000.939,0.0,34.18,1.295,0.0
