date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 05:50:00+00,26.45,84.9,999.3974,1.718,255.2,273.1,0.0,0
2024-12-04 06:00:00+00,26.53,84.5,999.2684,2.202,259.8,296.3,0.0,0
2024-12-04 06:10:00+00,26.84,84.1,999.15,0.924,255.5,277.7,0.0,0
2024-12-04 06:20:00+00,26.97,82.8,999.039,0.872,237.4,300.0,0.0,0
2024-12-04 06:30:00+00,27.17,82.3,998.9025,1.686,259.3,341.7,0.0,0
2024-12-04 06:40:00+00,27.19,81.9,998.7054,1.919,256.1,308.9,0.0,0
2024-12-04 06:50:00+00,27.3,81.6,998.5454,1.601,254.1,262.3,0.0,0
2024-12-04 07:00:00+00,27.23,81.0,998.4319,2.021,279.8,174.2,0.0,0
2024-12-04 07:10:00+00,27.01,81.0,998.341,1.932,246.8,148.9,0.0,0
2024-12-04 07:20:00+00,26.94,80.8,998.2274,1.417,257.5,169.8,0.0,0
2024-12-04 07:30:00+00,26.96,80.6,998.1649,2.192,269.6,187.4,0.0,0
2024-12-04 07:40:00+00,27.06,81.3,998.1454,1.506,237.2,170.2,0.0,0
2024-12-04 07:50:00+00,27.14,81.1,998.0529,1.399,238.9,167.6,0.0,0
2024-12-04 08:00:00+00,27.14,80.8,998.0165,1.764,252.3,162.1,0.0,0
2024-12-04 08:10:00+00,27.15,81.2,998.105,1.943,262.4,96.5,0.0,0
2024-12-04 08:20:00+00,27.06,81.5,998.131,3.19,259.6,84.2,0.0,0
2024-12-04 08:30:00+00,26.78,81.4,998.307,2.462,238.2,82.6,0.0,0
2024-12-04 08:40:00+00,25.64,84.1,998.4415,2.521,240.2,60.06,0.4,0
2024-12-04 08:50:00+00,24.66,87.6,998.489,0.78,223.5,53.74,0.0,0
2024-12-04 09:00:00+00,24.48,87.9,998.4334,1.113,229.1,58.75,0.0,0
2024-12-04 09:10:00+00,24.43,87.9,998.419,1.479,221.8,37.02,0.2,0
2024-12-04 09:20:00+00,24.33,91.77110679407049,998.5,0.676,198.4,0.0,0.2,1
2024-12-04 09:30:00+00,24.13,89.5,998.631,1.262,243.0,23.44,0.4,0
2024-12-04 09:40:00+00,24.02,90.3,998.758,0.96,253.6,15.47,0.0,0
2024-12-04 09:50:00+00,23.98,90.5,998.756,1.543,275.6,22.13,0.0,0
2024-12-04 10:00:00+00,23.96,90.4,998.7574,1.751,251.2,20.14,0.0,0
2024-12-04 10:10:00+00,23.98,90.5,998.7265,1.873,254.5,24.91,0.0,0
2024-12-04 10:20:00+00,24.01,90.6,998.807,1.712,276.1,11.69,0.0,0
2024-12-04 10:30:00+00,24.01,90.7,998.9354,1.574,261.9,9.71,0.0,0
2024-12-04 10:40:00+00,23.97,90.8,999.0094,1.311,250.9,5.359,0.2,0
2024-12-04 10:50:00+00,23.92,90.7,999.167,1.362,264.0,1.252,0.0,0
2024-12-04 11:00:00+00,23.87,90.5,999.327,1.848,256.6,0.086,0.0,0
2024-12-04 11:10:00+00,23.91,90.1,999.2944,1.696,265.7,0.0,0.0,0
2024-12-04 11:20:00+00,23.9,90.2,999.334,1.731,263.0,0.0,0.0,0
2024-12-04 11:30:00+00,23.87,90.2,999.3394,1.075,266.0,0.0,0.0,0
2024-12-04 11:40:00+00,23.84,90.4,999.4125,1.111,259.5,0.0,0.0,0
2024-12-04 11:50:00+00,23.83,90.7,999.3714,0.789,256.4,0.0,0.0,0
2024-12-04 12:00:00+00,23.73,91.0,999.3814,1.207,266.4,0.0,0.0,0
2024-12-04 12:10:00+00,23.7,91.1,999.404,1.046,277.4,0.0,0.0,0
2024-12-04 12:20:00+00,23.66,91.4,999.405,0.856,272.4,0.0,0.0,0
2024-12-04 12:30:00+00,23.64,91.4,999.4015,0.852,267.9,0.0,0.0,0
2024-12-04 12:40:00+00,23.63,91.4,999.433,1.379,269.3,0.102,0.0,0
