date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,22.27,96.8,936.335,0.0,138.8,71.15,4.4
2024-01-01 00:10:00+00,22.53,96.0,936.5,0.0,134.7,98.9,0.0
2024-01-01 00:20:00+00,22.77,93.7,936.59,0.0,200.4,93.2,0.0
2024-01-01 00:30:00+00,22.96,90.2,936.7399,0.0,226.7,73.59,0.0
2024-01-01 00:40:00+00,23.54,87.5,936.78,0.0,161.1,72.47,0.0
2024-01-01 00:50:00+00,24.05,84.9,936.78,0.0,148.8,74.43,0.0
2024-01-01 01:00:00+00,24.6,83.3,936.85,0.0,232.9,91.2,0.0
2024-01-01 01:10:00+00,24.86,80.8,936.9,0.0,153.5,98.5,0.0
2024-01-01 01:20:00+00,25.21,80.5,936.93,0.0,149.2,253.0,0.0
2024-01-01 01:30:00+00,25.89,77.84,937.065,0.0,177.5,197.2,0.0
2024-01-01 01:40:00+00,26.2,75.74,937.0,0.0,237.0,288.1,0.0
2024-01-01 01:50:00+00,26.93,73.41,936.96,0.0,208.7,512.7,0.0
2024-01-01 02:00:00+00,27.3,73.85,936.975,0.0,263.8,516.2,0.0
2024-01-01 02:10:00+00,27.67,70.24,936.95,0.0,230.0,530.0,0.0
2024-01-01 02:20:00+00,28.34,66.3,936.7399,0.0,153.2,536.5,0.0
2024-01-01 02:30:00+00,28.61,63.55,936.7,0.0,225.5,496.4,0.0
2024-01-01 02:40:00+00,28.47,67.59,936.615,0.0,276.2,475.8,0.0
2024-01-01 02:50:00+00,28.61,67.17,936.515,0.0,268.4,351.5,0.0
2024-01-01 03:00:00+00,28.37,67.76,936.495,0.0,261.5,277.0,0.0
2024-01-01 03:10:00+00,28.33,67.44,936.365,0.0,272.4,262.6,0.0
2024-01-01 03:20:00+00,28.31,67.94,936.3449,0.0,278.5,301.0,0.0
2024-01-01 03:30:00+00,28.61,65.94,936.235,0.0,218.6,235.1,0.0
2024-01-01 03:40:00+00,28.87,66.51,936.0099,0.0,226.9,401.0,0.0
2024-01-01 03:50:00+00,28.95,64.32,936.0,0.0,141.3,356.2,0.0
2024-01-01 04:00:00+00,29.4,63.48,935.8699,0.0,124.0,372.4,0.0
2024-01-01 04:10:00+00,29.16,61.83,935.7999,0.0,69.0,370.8,0.0
2024-01-01 04:20:00+00,29.09,62.38,935.71,0.0,105.7,315.1,0.0
2024-01-01 04:30:00+00,29.06,62.58,935.66,0.0,134.9,241.1,0.0
2024-01-01 04:40:00+00,29.14,62.46,935.4699,0.0,99.5,311.9,0.0
2024-01-01 04:50:00+00,29.34,61.12,935.235,0.0,119.3,378.4,0.0
2024-01-01 05:00:00+00,29.6,61.14,935.025,0.0,54.55,441.8,0.0
2024-01-01 05:10:00+00,29.5,60.95,934.815,0.0,75.62,519.9,0.0
2024-01-01 05:20:00+00,30.1,60.64,934.5999,0.0,112.6,557.5,0.0
2024-01-01 05:30:00+00,30.54,58.95,934.425,0.0,80.2,540.8,0.0
2024-01-01 05:40:00+00,30.1,59.14,934.38,0.0,127.5,474.5,0.0
2024-01-01 05:50:00+00,30.65,59.19,934.35,0.0,90.0,392.5,0.0
2024-01-01 06:00:00+00,31.04,58.56,934.18,0.0,44.85,359.0,0.0
2024-01-01 06:10:00+00,31.07,57.63,933.9399,0.0,94.1,352.3,0.0
2024-01-01 06:20:00+00,31.41,56.87,933.78,0.0,74.56,329.8,0.0
2024-01-01 06:30:00+00,31.17,56.37,933.5999,0.0,84.6,326.0,0.0
2024-01-01 06:40:00+00,31.09,56.18,933.41,0.0,87.8,322.4,0.0
2024-01-01 06:50:00+00,31.29,56.34,933.2599,0.0,93.3,318.3,0.0
2024-01-01 07:00:00+00,30.98,59.3,933.2899,0.0,109.4,315.8,0.0
2024-01-01 07:10:00+00,30.75,59.79,933.2,0.0,79.08,310.9,0.0
2024-01-01 07:20:00+00,30.9,53.92,933.0799,0.0,82.9,307.5,0.0
2024-01-01 07:30:00+00,31.51,52.66,932.86,0.0,98.4,345.6,0.0
2024-01-01 07:40:00+00,31.38,52.41,932.7999,0.0,77.98,366.8,0.0
2024-01-01 07:50:00+00,31.1,54.59,932.785,0.0,79.08,362.8,0.0
2024-01-01 08:00:00+00,30.92,54.66,932.615,0.0,77.41,312.5,0.0
2024-01-01 08:10:00+00,30.8,55.18,932.5999,0.0,74.65,248.9,0.0
2024-01-01 08:20:00+00,30.74,55.59,932.5999,0.0,90.1,258.7,0.0
2024-01-01 08:30:00+00,30.8,58.18,932.5699,0.0,74.37,245.3,0.0
2024-01-01 08:40:00+00,30.48,59.3,932.6399,0.0,77.85,206.4,0.0
2024-01-01 08:50:00+00,29.97,62.18,932.75,0.0,123.8,136.4,0.0
2024-01-01 09:00:00+00,28.13,69.44,932.9201,0.0,147.3,98.1,0.0
2024-01-01 09:10:00+00,27.05,72.97,932.8899,0.0,175.5,79.1,0.0
2024-01-01 09:20:00+00,26.38,73.08,932.9149,0.0,74.09,60.44,0.0
2024-01-01 09:30:00+00,26.02,70.63,933.0949,0.0,96.6,48.89,0.0
2024-01-01 09:40:00+00,25.62,71.06,933.0999,0.0,78.08,41.77,0.0
2024-01-01 09:50:00+00,25.78,72.29,933.18,0.0,95.7,40.67,0.0
2024-01-01 10:00:00+00,25.68,75.04,933.2,0.0,50.68,38.77,0.0
2024-01-01 10:10:00+00,25.97,74.79,933.3,0.0,180.2,32.66,0.0
2024-01-01 10:20:00+00,26.08,74.61,933.8199,0.0,192.4,23.73,0.0
2024-01-01 10:30:00+00,26.1,73.91,934.185,0.0,161.8,11.91,0.0
2024-01-01 10:40:00+00,25.93,74.57,934.435,0.0,145.4,7.966,0.0
2024-01-01 10:50:00+00,25.8,76.48,934.3449,0.0,55.79,9.09,0.0
2024-01-01 11:00:00+00,25.92,76.62,934.2,0.0,46.46,6.026,0.0
2024-01-01 11:10:00+00,25.93,77.64,934.2199,0.0,179.4,2.112,0.0
2024-01-01 11:20:00+00,25.69,79.46,934.48,0.0,201.3,0.131,0.0
2024-01-01 11:30:00+00,25.45,81.6,934.7,0.0,147.0,0.0,0.0
2024-01-01 11:40:00+00,25.36,83.4,934.925,0.0,137.0,0.0,0.0
2024-01-01 11:50:00+00,25.24,84.8,935.0199,0.0,97.1,0.0,0.0
2024-01-01 12:00:00+00,25.22,84.3,935.235,0.0,40.72,0.0,0.0
2024-01-01 12:10:00+00,25.32,85.0,935.45,0.0,50.55,0.0,0.0
2024-01-01 12:20:00+00,25.33,83.4,935.5799,0.0,39.92,0.0,0.0
2024-01-01 12:30:00+00,25.35,83.9,935.655,0.0,171.8,0.0,0.0
2024-01-01 12:40:00+00,25.25,84.6,935.6399,0.0,77.27,0.0,0.0
2024-01-01 12:50:00+00,25.21,86.5,935.5999,0.0,156.0,0.0,0.0
2024-01-01 13:00:00+00,25.01,87.3,935.5,0.0,257.3,0.0,0.2
2024-01-01 13:10:00+00,24.71,88.2,935.625,0.0,291.3,0.0,0.0
2024-01-01 13:20:00+00,24.61,89.1,935.885,0.0,283.9,0.0,0.0
2024-01-01 13:30:00+00,24.58,90.1,936.0949,0.0,203.4,0.0,0.0
2024-01-01 13:40:00+00,24.49,90.9,936.2999,0.0,131.4,0.0,0.2
2024-01-01 13:50:00+00,24.37,91.0,936.4,0.0,231.6,0.0,0.0
2024-01-01 14:00:00+00,24.32,90.4,936.45,0.0,272.3,0.0,0.2
2024-01-01 14:10:00+00,24.21,89.7,936.4899,0.0,286.7,0.0,0.2
2024-01-01 14:20:00+00,24.08,90.7,936.565,0.0,306.9,0.0,0.8
2024-01-01 14:30:00+00,23.92,92.3,936.5999,0.0,172.5,0.0,1.2
2024-01-01 14:40:00+00,23.67,93.2,936.5999,0.0,190.7,0.0,6.6
2024-01-01 14:50:00+00,23.47,94.2,936.5999,0.0,287.2,0.0,8.8
2024-01-01 15:00:00+00,23.18,95.1,936.5599,0.0,210.1,0.0,5.8
2024-01-01 15:10:00+00,23.0,95.8,936.5,0.0,176.7,0.0,4.8
2024-01-01 15:20:00+00,22.99,96.4,936.355,0.0,184.3,0.0,4.8
2024-01-01 15:30:00+00,23.01,96.8,936.18,0.0,224.0,0.0,5.2
2024-01-01 15:40:00+00,23.04,97.0,936.1699,0.0,233.1,0.0,1.2
2024-01-01 15:50:00+00,22.94,97.0,936.2,0.0,246.8,0.0,0.2
2024-01-01 16:00:00+00,22.87,97.0,936.215,0.0,224.2,0.0,0.0
2024-01-01 16:10:00+00,22.84,97.0,936.2999,0.0,247.8,0.0,0.0
2024-01-01 16:20:00+00,22.83,96.9,936.2999,0.0,224.6,0.0,0.0
2024-01-01 16:30:00+00,22.79,97.0,936.2999,0.0,130.6,0.0,0.0
2024-01-01 16:40:00+00,22.87,97.2,936.23,0.0,122.6,0.0,0.0
2024-01-01 16:50:00+00,22.86,97.2,936.0699,0.0,108.6,0.0,0.0
2024-01-01 17:00:00+00,22.86,97.2,935.885,0.0,59.52,0.0,0.0
2024-01-01 17:10:00+00,22.76,97.2,935.75,0.0,98.6,0.0,0.0
2024-01-01 17:20:00+00,22.8,97.3,935.7899,0.0,35.68,0.0,0.0
2024-01-01 17:30:00+00,22.86,97.4,935.68,0.0,79.2,0.0,0.0
2024-01-01 17:40:00+00,22.82,97.4,935.5249,0.0,56.36,0.0,0.0
2024-01-01 17:50:00+00,22.73,97.4,935.5,0.0,54.87,0.0,0.0
2024-01-01 18:00:00+00,22.8,97.5,935.545,0.0,85.1,0.0,0.0
2024-01-01 18:10:00+00,22.82,97.5,935.5999,0.0,64.32,0.0,0.0
2024-01-01 18:20:00+00,22.81,97.5,935.53,0.0,121.4,0.0,0.0
2024-01-01 18:30:00+00,22.77,97.5,935.4201,0.0,147.2,0.0,0.0
2024-01-01 18:40:00+00,22.76,97.5,935.36,0.0,118.0,0.0,0.0
2024-01-01 18:50:00+00,22.74,97.6,935.21,0.0,97.7,0.0,0.0
2024-01-01 19:00:00+00,22.68,97.5,935.0,0.0,87.9,0.0,0.0
2024-01-01 19:10:00+00,22.62,97.5,934.9149,0.0,63.47,0.0,0.0
2024-01-01 19:20:00+00,22.6,97.6,934.765,0.0,40.6,0.0,0.0
2024-01-01 19:30:00+00,22.54,97.6,934.565,0.0,71.41,0.0,0.0
2024-01-01 19:40:00+00,22.43,97.5,934.5,0.0,83.2,0.0,0.0
2024-01-01 19:50:00+00,22.41,97.6,934.4399,0.0,100.2,0.0,0.0
2024-01-01 20:00:00+00,22.5,97.7,934.4,0.0,140.6,0.0,0.2
2024-01-01 20:10:00+00,22.41,97.6,934.425,0.0,252.4,0.0,0.0
2024-01-01 20:20:00+00,22.39,97.7,934.5099,0.0,288.9,0.0,0.0
2024-01-01 20:30:00+00,22.36,97.7,934.5999,0.0,132.0,0.0,0.0
2024-01-01 20:40:00+00,22.32,97.7,934.6649,0.0,170.2,0.0,0.0
2024-01-01 20:50:00+00,22.32,97.7,934.705,0.0,147.3,0.0,0.0
2024-01-01 21:00:00+00,22.3,97.8,934.78,0.0,124.3,0.0,0.0
2024-01-01 21:10:00+00,22.29,97.8,934.68,0.0,199.1,0.0,0.0
2024-01-01 21:20:00+00,22.26,97.8,934.5999,0.0,202.9,0.0,0.0
2024-01-01 21:30:00+00,22.22,97.8,934.5999,0.0,155.3,0.0,0.0
2024-01-01 21:40:00+00,22.2,97.8,934.5999,0.0,186.1,0.0,0.0
2024-01-01 21:50:00+00,22.2,97.8,934.5999,0.0,208.8,0.0,0.0
2024-01-01 22:00:00+00,22.19,97.8,934.6649,0.0,270.8,0.0,0.0
2024-01-01 22:10:00+00,22.12,97.8,934.7599,0.0,272.3,0.0,0.0
2024-01-01 22:20:00+00,22.13,97.8,934.8249,0.0,185.7,0.0,0.0
2024-01-01 22:30:00+00,22.34,98.0,935.085,0.0,70.27,0.0,0.0
2024-01-01 22:40:00+00,22.4,98.0,935.3199,0.0,91.4,0.442,0.0
2024-01-01 22:50:00+00,22.45,98.0,935.5,0.0,103.1,2.697,0.0
2024-01-01 23:00:00+00,22.39,97.9,935.61,0.0,76.68,7.881,0.0
2024-01-01 23:10:00+00,22.31,97.9,935.695,0.0,74.52,11.78,0.0
2024-01-01 23:20:00+00,22.36,97.9,935.5999,0.0,88.4,22.22,0.0
2024-01-01 23:30:00+00,22.4,97.8,935.5999,0.0,99.8,28.09,0.0
2024-01-01 23:40:00+00,22.49,97.8,935.63,0.0,229.4,32.39,0.0
2024-01-01 23:50:00+00,22.54,97.8,935.6199,0.0,212.7,34.05,0.0
2024-01-02 00:00:00+00,,,,,,,0.0
2024-01-02 00:10:00+00,22.66,97.4,935.88,0.0,61.0,49.97,0.0
2024-01-02 00:20:00+00,22.66,96.8,935.8899,0.0,60.52,56.35,0.0
2024-01-02 00:30:00+00,22.89,96.6,936.0499,0.0,73.29,64.14,0.0
2024-01-02 00:40:00+00,23.08,96.5,936.23,0.0,43.2,68.55,0.0
2024-01-02 00:50:00+00,23.26,96.1,936.36,0.0,57.16,78.34,0.0
2024-01-02 01:00:00+00,23.32,93.8,936.4,0.0,70.32,95.9,0.0
2024-01-02 01:10:00+00,23.72,88.1,936.425,0.0,87.9,114.5,0.0
2024-01-02 01:20:00+00,24.36,84.2,936.3699,0.0,101.6,136.0,0.0
2024-01-02 01:30:00+00,24.82,82.4,936.2999,0.0,100.9,147.6,0.0
2024-01-02 01:40:00+00,25.12,79.97,936.2999,0.0,84.3,135.4,0.0
2024-01-02 01:50:00+00,25.48,79.56,936.2199,0.0,123.6,129.5,0.0
2024-01-02 02:00:00+00,25.68,79.96,936.2,0.0,115.4,130.2,0.0
2024-01-02 02:10:00+00,25.79,78.73,936.2,0.0,115.0,150.1,0.0
2024-01-02 02:20:00+00,25.66,83.8,936.135,0.0,192.0,155.9,0.0
2024-01-02 02:30:00+00,25.48,84.2,935.88,0.0,205.0,136.7,0.0
2024-01-02 02:40:00+00,25.72,83.0,935.86,0.0,132.9,166.2,0.0
2024-01-02 02:50:00+00,26.08,82.9,935.865,0.0,206.7,223.9,0.0
2024-01-02 03:00:00+00,26.3,80.5,935.7,0.0,166.1,236.8,0.0
2024-01-02 03:10:00+00,26.58,76.6,935.565,0.0,113.5,245.2,0.0
2024-01-02 03:20:00+00,27.0,73.83,935.475,0.0,89.5,272.7,0.0
2024-01-02 03:30:00+00,27.08,72.57,935.35,0.0,95.7,277.9,0.0
2024-01-02 03:40:00+00,27.25,70.99,935.2399,0.0,98.2,287.3,0.0
2024-01-02 03:50:00+00,27.77,70.59,935.1199,0.0,92.1,379.6,0.0
2024-01-02 04:00:00+00,28.36,67.72,934.9899,0.0,90.9,790.7,0.0
2024-01-02 04:10:00+00,29.44,62.64,934.78,0.0,88.8,664.7,0.0
2024-01-02 04:20:00+00,29.12,60.02,934.615,0.0,172.2,635.0,0.0
2024-01-02 04:30:00+00,29.62,62.68,934.4399,0.0,138.7,838.0,0.0
2024-01-02 04:40:00+00,30.28,59.59,934.275,0.0,95.5,626.4,0.0
2024-01-02 04:50:00+00,29.5,59.69,934.155,0.0,100.3,364.9,0.0
2024-01-02 05:00:00+00,29.48,62.6,934.005,0.0,81.8,319.1,0.0
2024-01-02 05:10:00+00,29.48,62.83,933.8299,0.0,96.5,288.3,0.0
2024-01-02 05:20:00+00,29.28,63.62,933.7249,0.0,89.2,274.6,0.0
2024-01-02 05:30:00+00,29.41,63.67,933.5199,0.0,98.5,278.7,0.0
2024-01-02 05:40:00+00,29.46,61.31,933.3299,0.0,104.9,269.0,0.0
2024-01-02 05:50:00+00,29.43,61.04,933.16,0.0,80.5,237.0,0.0
2024-01-02 06:00:00+00,29.41,61.61,933.0499,0.0,93.9,224.2,0.0
2024-01-02 06:10:00+00,29.48,62.19,932.945,0.0,54.89,234.2,0.0
2024-01-02 06:20:00+00,29.24,62.95,932.715,0.0,91.2,252.3,0.0
2024-01-02 06:30:00+00,29.37,63.66,932.545,0.0,62.38,283.8,0.0
2024-01-02 06:40:00+00,29.49,62.84,932.5,0.0,92.7,292.5,0.0
2024-01-02 06:50:00+00,29.4,62.27,932.45,0.0,91.4,272.3,0.0
2024-01-02 07:00:00+00,29.19,63.54,932.4,0.0,86.3,226.9,0.0
2024-01-02 07:10:00+00,29.01,63.22,932.4,0.0,81.9,207.2,0.0
2024-01-02 07:20:00+00,28.93,63.21,932.3099,0.0,84.6,212.7,0.0
2024-01-02 07:30:00+00,29.23,64.56,932.135,0.0,97.2,223.6,0.0
2024-01-02 07:40:00+00,29.29,65.33,932.0199,0.0,114.7,216.7,0.0
2024-01-02 07:50:00+00,29.24,65.64,931.95,0.0,109.2,206.1,0.0
2024-01-02 08:00:00+00,29.23,66.19,931.9,0.0,95.1,187.9,0.0
2024-01-02 08:10:00+00,29.18,66.87,931.85,0.0,100.7,176.9,0.0
2024-01-02 08:20:00+00,28.97,67.4,931.725,0.0,101.2,177.9,0.0
2024-01-02 08:30:00+00,28.88,67.35,931.6699,0.0,95.2,185.7,0.0
2024-01-02 08:40:00+00,28.79,67.59,931.5999,0.0,90.4,208.4,0.0
2024-01-02 08:50:00+00,28.83,67.83,931.66,0.0,100.0,177.5,0.0
2024-01-02 09:00:00+00,28.8,67.41,931.7,0.0,107.8,142.5,0.0
2024-01-02 09:10:00+00,28.75,67.7,931.835,0.0,97.1,119.2,0.0
2024-01-02 09:20:00+00,28.62,68.15,931.925,0.0,101.1,77.98,0.0
2024-01-02 09:30:00+00,28.46,68.31,931.91,0.0,86.8,77.25,0.0
2024-01-02 09:40:00+00,28.5,68.09,931.9399,0.0,99.3,140.6,0.0
2024-01-02 09:50:00+00,28.67,67.66,932.0399,0.0,84.5,145.9,0.0
2024-01-02 10:00:00+00,28.53,67.98,932.1399,0.0,86.5,105.2,0.0
2024-01-02 10:10:00+00,28.43,67.87,932.215,0.0,93.0,75.96,0.0
2024-01-02 10:20:00+00,28.23,68.54,932.23,0.0,106.9,58.18,0.0
2024-01-02 10:30:00+00,28.07,70.89,932.335,0.0,110.8,49.97,0.0
2024-01-02 10:40:00+00,27.85,71.55,932.385,0.0,107.4,45.45,0.0
2024-01-02 10:50:00+00,27.68,73.03,932.8699,0.0,73.93,34.26,0.0
2024-01-02 11:00:00+00,27.34,76.69,933.0,0.0,104.9,21.25,0.0
2024-01-02 11:10:00+00,27.01,78.03,933.005,0.0,51.75,10.98,0.0
2024-01-02 11:20:00+00,26.87,79.15,933.185,0.0,70.26,2.404,0.0
2024-01-02 11:30:00+00,26.55,80.6,933.36,0.0,67.04,0.022,0.0
2024-01-02 11:40:00+00,26.45,80.7,933.5399,0.0,66.65,0.0,0.0
2024-01-02 11:50:00+00,26.38,81.1,933.785,0.0,53.36,0.0,0.0
2024-01-02 12:00:00+00,26.13,82.0,933.8199,0.0,61.71,0.0,0.0
2024-01-02 12:10:00+00,25.93,82.7,934.1199,0.0,86.2,0.0,0.0
2024-01-02 12:20:00+00,25.65,83.0,934.2899,0.0,147.9,0.0,0.0
2024-01-02 12:30:00+00,25.49,83.6,934.305,0.0,186.9,0.0,0.0
2024-01-02 12:40:00+00,25.47,82.6,934.5099,0.0,103.9,0.0,0.0
2024-01-02 12:50:00+00,25.61,81.7,934.925,0.0,63.31,0.0,0.0
2024-01-02 13:00:00+00,25.41,82.3,935.035,0.0,52.84,0.0,0.0
2024-01-02 13:10:00+00,25.26,83.5,934.9699,0.0,73.55,0.0,0.0
2024-01-02 13:20:00+00,25.15,84.8,935.295,0.0,157.1,0.0,0.0
2024-01-02 13:30:00+00,25.09,85.4,935.4699,0.0,93.9,0.0,0.0
2024-01-02 13:40:00+00,25.11,85.1,935.315,0.0,276.0,0.0,0.0
2024-01-02 13:50:00+00,25.13,85.0,935.2999,0.0,193.3,0.0,0.0
2024-01-02 14:00:00+00,25.09,85.9,935.4399,0.0,141.3,0.0,0.0
2024-01-02 14:10:00+00,25.01,86.8,935.66,0.0,113.8,0.0,0.0
2024-01-02 14:20:00+00,24.94,87.4,935.7,0.0,101.0,0.0,0.0
2024-01-02 14:30:00+00,24.91,87.8,935.6399,0.0,34.08,0.0,0.0
2024-01-02 14:40:00+00,24.91,87.2,935.5199,0.0,41.15,0.0,0.0
2024-01-02 14:50:00+00,24.87,87.0,935.585,0.0,72.7,0.0,0.0
2024-01-02 15:00:00+00,24.89,86.7,935.86,0.0,76.65,0.0,0.0
2024-01-02 15:10:00+00,24.89,86.7,935.935,0.0,85.0,0.0,0.0
2024-01-02 15:20:00+00,24.89,86.2,935.975,0.0,41.76,0.0,0.0
2024-01-02 15:30:00+00,24.85,87.5,935.91,0.0,25.92,0.0,0.0
2024-01-02 15:40:00+00,24.53,89.9,936.0599,0.0,40.09,0.0,0.8
2024-01-02 15:50:00+00,24.22,92.1,936.0999,0.0,71.94,0.0,0.4
2024-01-02 16:00:00+00,23.99,93.4,936.0699,0.0,262.7,0.0,5.8
2024-01-02 16:10:00+00,23.43,93.9,936.065,0.0,144.4,0.0,0.2
2024-01-02 16:20:00+00,23.19,94.8,935.9399,0.0,30.2,0.0,0.0
2024-01-02 16:30:00+00,23.19,95.5,935.7749,0.0,209.3,0.0,0.0
2024-01-02 16:40:00+00,23.2,95.9,935.6899,0.0,177.7,0.0,0.0
2024-01-02 16:50:00+00,23.24,96.0,935.455,0.0,198.6,0.0,0.0
2024-01-02 17:00:00+00,23.23,95.7,935.13,0.0,235.7,0.0,0.0
2024-01-02 17:10:00+00,23.15,95.6,934.965,0.0,241.2,0.0,0.0
2024-01-02 17:20:00+00,23.17,95.9,935.055,0.0,238.1,0.0,0.0
2024-01-02 17:30:00+00,23.23,95.8,934.8449,0.0,233.9,0.0,0.0
2024-01-02 17:40:00+00,23.19,95.0,934.7399,0.0,207.3,0.0,0.0
2024-01-02 17:50:00+00,23.18,94.6,934.5999,0.0,207.5,0.0,0.0
2024-01-02 18:00:00+00,23.19,94.6,934.5999,0.0,199.8,0.0,0.0
2024-01-02 18:10:00+00,23.19,94.6,934.5999,0.0,205.7,0.0,0.0
2024-01-02 18:20:00+00,23.18,94.8,934.5999,0.0,208.2,0.0,0.0
2024-01-02 18:30:00+00,23.13,94.9,934.5499,0.0,160.2,0.0,0.0
2024-01-02 18:40:00+00,23.17,95.1,934.335,0.0,200.0,0.0,0.0
2024-01-02 18:50:00+00,23.21,94.8,934.225,0.0,203.2,0.0,0.0
2024-01-02 19:00:00+00,23.24,95.0,934.265,0.0,189.1,0.0,0.0
2024-01-02 19:10:00+00,23.28,95.1,934.2,0.0,266.4,0.0,0.0
2024-01-02 19:20:00+00,23.29,95.3,934.325,0.0,53.3,0.0,0.0
2024-01-02 19:30:00+00,23.32,95.3,934.3199,0.0,136.8,0.0,0.0
2024-01-02 19:40:00+00,23.32,95.2,934.25,0.0,266.3,0.0,0.0
2024-01-02 19:50:00+00,23.18,94.3,934.2699,0.0,256.9,0.0,0.0
2024-01-02 20:00:00+00,23.01,93.0,934.235,0.0,254.6,0.0,0.0
2024-01-02 20:10:00+00,23.0,92.4,934.195,0.0,257.5,0.0,0.0
2024-01-02 20:20:00+00,23.06,92.7,934.0999,0.0,242.8,0.0,0.0
2024-01-02 20:30:00+00,23.04,92.1,934.18,0.0,243.8,0.0,0.0
2024-01-02 20:40:00+00,23.05,91.3,934.2,0.0,228.4,0.0,0.0
2024-01-02 20:50:00+00,23.04,91.2,934.2,0.0,208.4,0.0,0.0
2024-01-02 21:00:00+00,23.12,91.7,934.11,0.0,230.9,0.0,0.0
2024-01-02 21:10:00+00,23.07,91.6,934.0399,0.0,266.2,0.0,0.0
2024-01-02 21:20:00+00,22.99,92.3,934.0199,0.0,181.9,0.0,0.0
2024-01-02 21:30:00+00,22.94,92.7,934.0999,0.0,133.4,0.0,0.2
2024-01-02 21:40:00+00,22.99,92.8,934.16,0.0,148.1,0.0,0.0
2024-01-02 21:50:00+00,22.89,92.9,934.3299,0.0,147.7,0.0,0.0
2024-01-02 22:00:00+00,22.75,93.0,934.505,0.0,113.6,0.0,0.0
2024-01-02 22:10:00+00,22.61,93.1,934.6649,0.0,99.3,0.0,0.0
2024-01-02 22:20:00+00,22.53,93.3,934.745,0.0,199.2,0.0,0.0
2024-01-02 22:30:00+00,22.54,93.5,934.7899,0.0,295.0,0.0,0.0
2024-01-02 22:40:00+00,22.56,93.6,934.9,0.0,301.4,0.376,0.0
2024-01-02 22:50:00+00,22.53,93.7,934.9,0.0,245.2,2.041,0.0
