date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-18 02:40:00+00,22.38,90.8,935.795,0.854,240.0,133.7,0.0,0
2024-12-18 02:50:00+00,22.63,89.5,935.5199,0.716,222.2,201.9,0.0,0
2024-12-18 03:00:00+00,23.28,86.2,935.3299,0.803,261.7,377.6,0.2,0
2024-12-18 03:10:00+00,24.41,81.4,935.2999,1.214,245.0,380.1,0.0,0
2024-12-18 03:20:00+00,25.56,78.43,935.2399,1.673,231.6,391.4,0.0,0
2024-12-18 03:30:00+00,26.3,74.82,935.115,1.86,244.3,400.9,0.0,0
2024-12-18 03:40:00+00,26.52,72.43,934.995,1.974,254.2,483.1,0.0,0
2024-12-18 03:50:00+00,26.88,72.56,934.8699,1.593,228.6,586.5,0.0,0
2024-12-18 04:00:00+00,27.23,71.54,934.755,1.445,232.0,472.6,0.0,0
2024-12-18 04:10:00+00,27.07,70.6,934.605,2.187,241.3,377.7,0.0,0
2024-12-18 04:20:00+00,27.21,70.0,934.4899,1.777,231.4,315.4,0.0,0
2024-12-18 04:30:00+00,27.05,70.04,934.4,1.982,248.8,230.8,0.0,0
2024-12-18 04:40:00+00,26.96,70.34,934.305,1.67,239.5,274.2,0.0,0
2024-12-18 04:50:00+00,27.22,69.29,934.135,1.863,254.7,311.2,0.0,0
2024-12-18 05:00:00+00,27.31,68.75,933.975,1.832,242.9,288.6,0.0,0
2024-12-18 05:10:00+00,27.37,67.0,933.825,2.43,264.6,231.1,0.0,0
2024-12-18 05:20:00+00,27.11,67.69,933.66,2.453,259.3,198.2,0.0,0
2024-12-18 05:30:00+00,27.13,67.1,933.5599,2.192,264.4,207.3,0.0,0
2024-12-18 05:40:00+00,27.17,66.72,933.5,2.432,263.9,215.7,0.0,0
2024-12-18 05:50:00+00,27.15,68.44,933.425,1.651,256.8,205.7,0.0,0
2024-12-18 06:00:00+00,27.11,69.28,933.28,1.594,251.1,182.6,0.0,0
2024-12-18 06:10:00+00,26.89,70.92,921.7320186991002,1.665,-999.0,148.9,0.0,1
2024-12-18 06:20:00+00,26.77,71.42,932.9399,1.317,240.6,197.3,0.0,0
2024-12-18 06:30:00+00,26.88,69.56,932.8299,2.349,272.5,124.7,0.0,0
2024-12-18 06:40:00+00,26.62,69.84,932.695,2.192,282.0,56.28,0.0,0
2024-12-18 06:50:00+00,26.33,70.23,932.5949,3.137,286.2,60.04,0.0,0
2024-12-18 07:00:00+00,26.03,72.88,932.5,2.647,281.9,60.79,0.0,0
2024-12-18 07:10:00+00,25.5,75.27,932.375,2.859,291.3,41.24,0.0,0
2024-12-18 07:20:00+00,25.4,75.31,932.25,2.778,286.2,126.4,0.0,0
2024-12-18 07:30:00+00,26.1,73.71,932.11,2.374,285.0,299.6,0.0,0
2024-12-18 07:40:00+00,26.75,71.01,932.0,2.385,273.0,174.0,0.0,0
2024-12-18 07:50:00+00,26.59,70.55,931.95,2.956,277.4,85.4,0.0,0
2024-12-18 08:00:00+00,26.39,70.86,932.0,2.657,289.5,78.11,0.0,0
2024-12-18 08:10:00+00,26.36,71.52,931.96,2.1,285.4,63.7,0.0,0
2024-12-18 08:20:00+00,26.41,71.28,931.885,1.596,275.6,61.81,0.0,0
2024-12-18 08:30:00+00,26.5,70.95,931.7999,1.424,270.1,66.32,0.0,0
2024-12-18 08:40:00+00,26.6,71.81,931.88,1.208,236.2,73.31,0.0,0
2024-12-18 08:50:00+00,26.7,71.41,931.9,1.48,257.5,61.6,0.0,0
2024-12-18 09:00:00+00,26.38,72.28,932.13,4.073,276.0,19.17,0.0,0
2024-12-18 09:10:00+00,24.52,80.6,932.315,5.023,295.3,31.31,0.0,0
2024-12-18 09:20:00+00,23.48,84.7,932.4201,4.738,299.8,60.84,0.0,0
2024-12-18 09:30:00+00,23.17,87.0,932.495,3.856,309.0,45.43,0.2,0
2024-12-18 09:40:00+00,22.91,88.4,932.5199,2.625,300.3,60.5,0.2,0
2024-12-18 09:50:00+00,22.84,88.3,932.48,2.334,287.8,67.17,0.0,0
2024-12-18 10:00:00+00,22.93,88.2,932.435,1.335,296.4,72.94,0.0,0
2024-12-18 10:10:00+00,22.99,87.1,932.34,1.086,268.8,64.12,0.0,0
2024-12-18 10:20:00+00,23.09,86.3,932.4399,1.234,286.4,51.24,0.0,0
2024-12-18 10:30:00+00,23.12,85.8,932.635,1.673,256.0,32.24,0.0,0
2024-12-18 10:40:00+00,23.09,86.0,932.8699,1.959,251.3,18.88,0.0,0
2024-12-18 10:50:00+00,23.06,86.1,933.0749,1.871,248.7,8.38,0.0,0
