timestamp,tt,rh,pp,ws,wd,sr,rr
2025-10-13T05:20:59.265360,29.2,47.7,949.95,0.864,172.4,714.6,0.0
2025-10-13T05:21:00.266768,29.85,45.0,949.9,1.181,212.5,741.7,0.0
2025-10-13T05:21:01.267411,29.72,44.6,949.7999,0.991,205.0,767.1,0.0
2025-10-13T05:21:02.268777,30.38,42.7,949.6699,0.834,161.0,788.5,0.0
2025-10-13T05:21:03.270096,30.04,43.1,949.5999,1.117,124.7,811.0,0.0
2025-10-13T05:21:04.270946,30.35,43.2,949.5,1.05,190.1,835.0,0.0
2025-10-13T05:21:05.271767,31.07,40.1,949.435,1.055,190.3,848.0,0.0
2025-10-13T05:21:06.272706,31.02,39.4,949.265,1.116,122.6,856.0,0.0
2025-10-13T05:21:07.273763,31.03,41.3,949.055,1.502,93.8,875.0,0.0
2025-10-13T05:21:08.275019,30.85,43.8,948.96,1.789,62.8,879.0,0.0
2025-10-13T05:21:09.276350,30.74,42.6,948.755,1.743,78.9,891.0,0.0
2025-10-13T05:21:10.292299,30.6,43.4,948.545,1.824,71.2,896.0,0.0
2025-10-13T05:21:11.278046,31.37,41.6,948.3949,1.691,76.7,905.0,0.0
2025-10-13T05:21:12.278489,31.19,41.8,948.175,1.992,64.9,900.0,0.0
2025-10-13T05:21:13.279750,31.29,41.4,947.9899,2.278,73.0,896.0,0.0
2025-10-13T05:21:14.279964,31.29,40.9,947.875,2.012,81.6,897.0,0.0
2025-10-13T05:21:15.281493,30.8,42.0,947.7399,2.452,58.7,889.0,0.0
2025-10-13T05:21:16.281650,31.04,41.0,947.5949,2.605,66.0,878.0,0.0
2025-10-13T05:21:17.282523,30.95,41.5,947.45,2.397,62.7,866.0,0.0
2025-10-13T05:21:18.283649,31.0,41.2,947.255,2.483,51.9,854.0,0.0
2025-10-13T05:21:19.284158,31.48,40.3,947.0799,1.835,82.9,837.0,0.0
2025-10-13T05:21:20.285008,31.99,39.2,946.95,1.805,68.3,820.0,0.0
2025-10-13T05:21:21.285328,31.78,39.3,946.78,2.332,78.5,799.8,0.0
2025-10-13T05:21:22.286087,31.51,40.8,946.68,2.545,74.0,783.5,0.0
2025-10-13T05:21:23.286881,31.0,43.1,946.61,2.932,65.8,762.7,0.0
2025-10-13T05:21:24.287416,31.29,42.9,946.5999,2.514,85.8,627.9,0.0
2025-10-13T05:21:25.288041,31.34,42.9,946.505,2.948,80.4,173.5,0.0
2025-10-13T05:21:26.288543,30.92,44.2,946.475,2.725,85.3,183.4,0.0
2025-10-13T05:21:27.289910,30.35,45.3,946.41,3.298,90.5,127.5,0.0
2025-10-13T05:21:28.290161,30.08,47.4,946.2999,2.999,89.5,79.7,0.0
2025-10-13T05:21:29.291203,30.23,47.2,946.2199,3.209,93.0,77.5,0.0
2025-10-13T05:21:30.291948,30.35,46.5,946.11,2.758,96.1,76.6,0.0
2025-10-13T05:21:31.292175,30.39,47.0,946.11,2.807,93.9,77.2,0.0
2025-10-13T05:21:32.293833,30.23,48.1,946.2,2.984,83.6,77.8,0.0
2025-10-13T05:21:33.294686,29.6,50.0,946.315,2.976,102.2,75.5,0.0
2025-10-13T05:21:34.295445,29.36,52.0,946.395,3.002,100.6,65.7,0.0
2025-10-13T05:21:35.295958,28.96,53.5,946.435,2.6,73.8,66.1,0.0
2025-10-13T05:21:36.297355,28.59,54.7,946.5499,3.246,80.4,64.0,0.0
2025-10-13T05:21:37.298344,28.49,55.5,946.5999,2.772,78.3,64.4,0.0
2025-10-13T05:21:38.298712,28.45,56.2,946.63,2.733,73.6,73.3,0.0
2025-10-13T05:21:39.299456,27.94,58.1,946.7699,3.04,63.8,51.5,0.0
2025-10-13T05:21:40.300479,27.39,60.1,946.7999,2.276,86.9,56.7,0.0
2025-10-13T05:21:41.301226,27.45,60.2,946.925,2.701,65.2,70.7,0.0
2025-10-13T05:21:42.302225,27.04,61.5,947.03,2.925,85.5,71.1,0.0
2025-10-13T05:21:43.302339,26.91,61.8,947.0999,2.723,59.8,64.6,0.0
2025-10-13T05:21:44.303670,26.69,63.0,947.1399,2.504,69.6,37.4,0.0
