date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,,,,,,,0.0
2024-01-01 00:10:00+00,24.02,89.1,950.4894,0.071,265.3,139.4,0.0
2024-01-01 00:20:00+00,24.41,86.6,950.5999,0.49,225.6,228.6,0.0
2024-01-01 00:30:00+00,25.3,81.1,950.7199,0.089,244.0,289.9,0.0
2024-01-01 00:40:00+00,26.08,78.29,950.8899,0.205,197.8,239.4,0.0
2024-01-01 00:50:00+00,26.66,76.02,951.0,0.342,217.7,340.9,0.0
2024-01-01 01:00:00+00,26.94,74.34,950.9399,0.113,221.3,448.4,0.0
2024-01-01 01:10:00+00,27.69,70.94,951.0099,0.441,161.6,516.4,0.0
2024-01-01 01:20:00+00,28.37,68.16,951.0999,0.759,134.7,399.0,0.0
2024-01-01 01:30:00+00,28.95,66.93,951.185,1.09,151.9,661.1,0.0
2024-01-01 01:40:00+00,30.04,60.37,951.2999,1.077,97.7,668.4,0.0
2024-01-01 01:50:00+00,29.62,61.71,951.23,1.478,67.92,703.4,0.0
2024-01-01 02:00:00+00,29.48,62.84,951.1499,1.167,94.9,729.7,0.2
2024-01-01 02:10:00+00,29.87,60.31,951.2,1.907,74.33,758.7,0.0
2024-01-01 02:20:00+00,30.29,60.19,951.155,1.191,131.5,789.6,0.0
2024-01-01 02:30:00+00,30.39,59.39,950.945,1.471,71.81,826.0,0.0
2024-01-01 02:40:00+00,29.77,61.81,950.7999,1.274,45.34,865.0,0.0
2024-01-01 02:50:00+00,29.78,60.82,950.7999,1.071,105.9,905.0,0.0
2024-01-01 03:00:00+00,30.15,59.19,950.695,1.37,100.3,903.0,0.0
2024-01-01 03:10:00+00,30.15,60.49,950.5999,0.915,84.2,895.0,0.0
2024-01-01 03:20:00+00,31.12,58.36,950.5,1.152,86.1,920.0,0.0
2024-01-01 03:30:00+00,31.79,55.9,950.43,0.963,137.5,886.0,0.0
2024-01-01 03:40:00+00,31.32,56.95,950.2699,1.078,111.7,591.6,0.0
2024-01-01 03:50:00+00,30.69,57.38,950.2,1.457,59.28,436.1,0.0
2024-01-01 04:00:00+00,30.64,55.98,950.16,1.398,81.1,725.0,0.0
2024-01-01 04:10:00+00,31.49,55.21,949.985,0.701,155.1,897.0,0.0
2024-01-01 04:20:00+00,32.7,53.12,949.7599,0.504,159.9,904.0,0.0
2024-01-01 04:30:00+00,32.69,52.5,949.5799,1.11,110.5,918.0,0.0
2024-01-01 04:40:00+00,32.67,51.96,949.4699,1.429,120.5,832.0,0.0
2024-01-01 04:50:00+00,32.6,52.32,949.295,1.484,122.0,752.2,0.0
2024-01-01 05:00:00+00,32.33,55.07,949.1199,1.423,148.8,624.2,0.0
2024-01-01 05:10:00+00,32.29,54.46,948.95,1.396,109.0,432.9,0.0
2024-01-01 05:20:00+00,31.83,54.8,948.7399,1.189,120.0,509.0,0.0
2024-01-01 05:30:00+00,32.0,54.95,948.535,1.404,101.1,532.2,0.0
2024-01-01 05:40:00+00,32.03,54.63,948.5,0.904,122.8,508.5,0.0
2024-01-01 05:50:00+00,31.7,55.1,948.45,1.436,120.6,493.1,0.0
2024-01-01 06:00:00+00,32.26,54.5,948.335,1.402,148.7,511.4,0.0
2024-01-01 06:10:00+00,32.12,56.2,948.195,1.727,92.6,400.0,0.0
2024-01-01 06:20:00+00,31.97,57.34,947.985,2.016,79.06,292.2,0.0
2024-01-01 06:30:00+00,32.15,55.86,947.765,1.497,86.4,278.2,0.0
2024-01-01 06:40:00+00,32.08,53.98,947.53,1.293,105.0,267.9,0.0
2024-01-01 06:50:00+00,32.25,52.94,947.565,1.166,95.0,272.5,0.0
2024-01-01 07:00:00+00,32.6,52.25,947.48,1.496,115.5,258.8,0.0
2024-01-01 07:10:00+00,32.14,54.54,947.3899,2.511,113.1,229.4,0.0
2024-01-01 07:20:00+00,31.56,58.18,947.2899,2.253,101.1,250.5,0.0
