date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 05:20:00+00,27.53,91.5,947.035,2.13,92.7,421.6,0.0,0
2024-12-04 05:30:00+00,27.55,91.9,946.9149,1.872,84.6,474.1,0.0,0
2024-12-04 05:40:00+00,27.96,88.8,946.745,1.939,101.6,713.3,0.0,0
2024-12-04 05:50:00+00,28.65,85.2,946.7,1.312,106.1,456.5,0.0,0
2024-12-04 06:00:00+00,29.01,82.9,946.565,1.298,107.3,540.3,0.0,0
2024-12-04 06:10:00+00,28.92,80.8,946.41,1.898,110.9,667.2,0.0,0
2024-12-04 06:20:00+00,29.05,81.1,946.255,2.16,106.3,677.9,0.0,0
2024-12-04 06:30:00+00,28.97,81.2,946.055,2.713,109.4,483.3,0.0,0
2024-12-04 06:40:00+00,28.71,83.7,945.88,2.285,90.0,519.8,0.0,0
2024-12-04 06:50:00+00,28.88,82.1,945.7599,2.054,97.0,409.5,0.0,0
2024-12-04 07:00:00+00,28.38,84.0,945.6499,1.774,105.3,302.4,0.0,0
2024-12-04 07:10:00+00,28.11,84.5,945.565,1.721,82.8,255.4,0.0,0
2024-12-04 07:20:00+00,27.66,86.4,945.45,1.443,73.13,123.1,0.0,0
2024-12-04 07:30:00+00,27.06,90.5,945.375,1.276,84.8,44.96,0.0,0
2024-12-04 07:40:00+00,26.55,95.9,945.385,1.027,131.8,48.27,0.0,0
2024-12-04 07:50:00+00,26.31,97.5,945.5,1.683,99.4,155.4,0.0,0
2024-12-04 08:00:00+00,26.29,96.3,945.405,1.622,87.4,171.5,0.0,0
2024-12-04 08:10:00+00,26.39,95.5,945.4201,1.522,102.5,113.2,0.0,0
2024-12-04 08:20:00+00,26.2,96.1,945.475,1.481,92.8,87.7,0.0,0
2024-12-04 08:30:00+00,26.21,95.5,945.5,1.419,97.9,140.4,0.0,0
2024-12-04 08:40:00+00,26.31,97.2,945.41,0.891,113.3,130.3,0.0,0
2024-12-04 08:50:00+00,26.28,98.2,945.4,8.156946907318531,110.2,99.7,3.76155106558696,1
2024-12-04 09:00:00+00,26.15,97.6,945.425,1.146,70.45,66.66,0.0,0
2024-12-04 09:10:00+00,25.85,97.9,945.5,0.858,84.6,42.59,0.2,0
2024-12-04 09:20:00+00,25.78,100.0,945.515,0.941,143.0,41.89,0.0,0
2024-12-04 09:30:00+00,25.59,100.0,945.715,0.824,137.2,35.27,0.0,0
2024-12-04 09:40:00+00,25.27,100.0,945.885,0.977,154.6,25.45,0.0,0
2024-12-04 09:50:00+00,24.81,97.6,946.045,1.957,217.7,20.71,0.0,0
2024-12-04 10:00:00+00,24.66,93.7,946.2,1.951,224.6,20.06,0.0,0
2024-12-04 10:10:00+00,24.59,93.0,946.2,2.09,239.2,15.91,0.0,0
2024-12-04 10:20:00+00,24.59,93.3,946.265,2.013,227.3,11.08,0.0,0
2024-12-04 10:30:00+00,24.48,94.7,946.2999,1.652,234.6,7.041,0.0,0
2024-12-04 10:40:00+00,24.4,95.1,946.38,1.692,235.8,3.527,0.0,0
2024-12-04 10:50:00+00,24.39,94.0,946.555,1.328,256.7,1.204,0.0,0
2024-12-04 11:00:00+00,24.36,94.2,946.7,1.576,240.7,0.021,0.0,0
2024-12-04 11:10:00+00,24.36,93.6,946.815,1.616,241.5,0.0,0.0,0
2024-12-04 11:20:00+00,24.14,96.2,946.9149,1.054,235.5,0.0,0.2,0
2024-12-04 11:30:00+00,23.86,98.1,947.0,0.919,226.4,0.0,0.0,0
2024-12-04 11:40:00+00,23.67,99.9,947.0949,0.304,223.1,0.0,0.0,0
2024-12-04 11:50:00+00,23.6,100.0,947.0999,0.315,262.1,0.0,0.2,0
2024-12-04 12:00:00+00,23.6,100.0,947.0999,0.403,98.5,0.0,0.0,0
2024-12-04 12:10:00+00,23.55,100.0,947.175,0.464,71.88,0.0,0.0,0
2024-12-04 12:20:00+00,23.58,100.0,947.2599,0.639,87.8,0.0,0.0,0
