date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,,,,,,,0.0
2024-01-01 00:10:00+00,20.81,87.2,881.9421,0.0,282.0,152.1,0.0
2024-01-01 00:20:00+00,21.42,85.8,881.865,0.0,289.4,122.4,0.0
2024-01-01 00:30:00+00,21.81,84.9,882.0494,0.0,291.9,128.4,0.0
2024-01-01 00:40:00+00,21.76,84.5,882.2042,0.0,306.5,154.3,0.0
2024-01-01 00:50:00+00,21.91,85.1,882.2859,0.0,311.8,223.7,0.0
2024-01-01 01:00:00+00,22.03,84.2,882.419,0.0,298.5,168.9,0.0
2024-01-01 01:10:00+00,21.85,84.5,882.5286,0.0,306.7,177.2,0.0
2024-01-01 01:20:00+00,21.77,85.4,882.5911,0.0,302.5,151.3,0.0
2024-01-01 01:30:00+00,21.64,86.4,882.7151,0.0,306.9,131.8,0.0
2024-01-01 01:40:00+00,21.8,86.4,882.8225,0.0,295.1,198.1,0.0
2024-01-01 01:50:00+00,21.95,84.4,882.8614,0.0,267.7,253.4,0.0
2024-01-01 02:00:00+00,22.3,83.8,882.8299,0.0,301.3,315.9,0.0
2024-01-01 02:10:00+00,22.58,81.7,882.7163,0.0,302.8,352.8,0.0
2024-01-01 02:20:00+00,22.68,81.2,882.5497,0.0,326.5,443.9,0.0
2024-01-01 02:30:00+00,22.93,81.9,882.4991,0.0,283.9,440.9,0.0
2024-01-01 02:40:00+00,22.79,81.8,882.5547,0.0,290.5,392.0,0.0
2024-01-01 02:50:00+00,22.66,82.3,882.5634,0.0,249.5,361.1,0.0
2024-01-01 03:00:00+00,22.89,81.1,882.5171,0.0,315.4,372.7,0.0
2024-01-01 03:10:00+00,22.9,81.6,882.4452,0.0,311.0,365.5,0.0
2024-01-01 03:20:00+00,23.31,79.71,882.3225,0.0,321.5,447.0,0.0
2024-01-01 03:30:00+00,23.73,78.76,882.1376,0.0,306.3,517.2,0.0
2024-01-01 03:40:00+00,24.23,78.59,881.9753,0.0,186.8,516.5,0.0
2024-01-01 03:50:00+00,24.54,75.67,881.8531,0.0,166.1,479.4,0.0
2024-01-01 04:00:00+00,24.7,74.01,881.8182,0.0,213.0,476.9,0.0
2024-01-01 04:10:00+00,24.78,72.96,881.8306,0.0,221.2,567.3,0.0
2024-01-01 04:20:00+00,25.32,71.87,881.7493,0.0,260.4,705.9,0.0
2024-01-01 04:30:00+00,25.52,70.8,881.6392,0.0,281.0,741.0,0.0
2024-01-01 04:40:00+00,25.63,70.12,881.563,0.0,286.7,752.0,0.0
2024-01-01 04:50:00+00,25.88,68.6,881.3654,0.0,292.9,799.8,0.0
2024-01-01 05:00:00+00,25.82,68.29,881.2516,0.0,313.5,697.4,0.0
2024-01-01 05:10:00+00,25.78,69.99,881.0706,0.0,296.9,517.8,0.0
2024-01-01 05:20:00+00,25.82,69.96,880.889,0.0,299.0,485.3,0.0
2024-01-01 05:30:00+00,26.23,68.95,880.7568,0.0,268.7,475.8,0.0
2024-01-01 05:40:00+00,26.3,68.86,880.666,0.0,281.4,453.5,0.0
2024-01-01 05:50:00+00,26.03,66.78,880.6033,0.0,306.1,427.2,0.0
2024-01-01 06:00:00+00,25.74,67.86,880.4736,0.0,291.8,438.1,0.0
2024-01-01 06:10:00+00,26.03,67.39,880.3965,0.0,277.0,443.3,0.0
2024-01-01 06:20:00+00,26.17,67.6,880.2893,0.0,235.5,491.0,0.0
2024-01-01 06:30:00+00,26.09,68.09,880.1021,0.0,277.4,491.4,0.0
2024-01-01 06:40:00+00,26.16,68.48,879.9044,0.0,287.6,524.4,0.0
2024-01-01 06:50:00+00,26.42,69.35,879.8135,0.0,260.9,708.2,0.0
2024-01-01 07:00:00+00,26.58,68.59,879.7077,0.0,252.5,585.3,0.0
2024-01-01 07:10:00+00,26.38,68.92,879.692,0.0,191.4,524.7,0.0
2024-01-01 07:20:00+00,26.47,67.36,879.593,0.0,249.3,526.7,0.0
2024-01-01 07:30:00+00,26.7,67.85,879.4905,0.0,240.8,339.2,0.0
2024-01-01 07:40:00+00,26.13,71.98,879.5103,0.0,119.8,204.3,0.0
2024-01-01 07:50:00+00,25.44,75.74,879.3769,0.0,113.2,219.2,0.0
2024-01-01 08:00:00+00,25.26,76.21,879.3384,0.0,121.3,292.7,0.0
2024-01-01 08:10:00+00,25.27,76.04,879.3466,0.0,115.0,324.4,0.0
2024-01-01 08:20:00+00,25.21,78.11,879.3732,0.0,149.7,311.7,0.0
2024-01-01 08:30:00+00,25.23,78.0,879.343,0.0,146.0,306.5,0.0
2024-01-01 08:40:00+00,25.35,77.66,879.227,0.0,138.6,289.2,0.0
2024-01-01 08:50:00+00,25.21,77.53,879.1557,0.0,146.1,260.4,0.0
2024-01-01 09:00:00+00,24.89,77.4,879.2561,0.0,145.5,239.6,0.0
2024-01-01 09:10:00+00,24.83,78.77,879.2134,0.0,140.6,222.1,0.0
2024-01-01 09:20:00+00,24.62,79.76,879.3106,0.0,149.7,216.9,0.0
2024-01-01 09:30:00+00,24.61,79.51,879.3515,0.0,138.4,197.1,0.0
2024-01-01 09:40:00+00,24.37,80.3,879.3981,0.0,135.2,153.5,0.0
2024-01-01 09:50:00+00,24.14,81.0,879.6067,0.0,132.4,132.4,0.0
2024-01-01 10:00:00+00,24.03,82.2,879.6868,0.0,135.9,114.0,0.0
2024-01-01 10:10:00+00,23.96,82.8,879.7279,0.0,132.0,95.0,0.0
2024-01-01 10:20:00+00,23.87,82.8,880.0024,0.0,134.4,77.77,0.0
2024-01-01 10:30:00+00,23.68,84.2,880.2411,0.0,131.7,56.09,0.0
2024-01-01 10:40:00+00,23.51,85.2,880.4006,0.0,130.0,41.8,0.0
2024-01-01 10:50:00+00,23.36,85.5,880.6008,0.0,131.0,32.07,0.0
2024-01-01 11:00:00+00,23.09,86.2,880.5753,0.0,144.4,21.05,0.0
2024-01-01 11:10:00+00,22.72,88.6,880.5214,0.0,146.7,7.114,0.0
2024-01-01 11:20:00+00,22.48,89.6,880.5179,0.0,151.8,0.04,0.0
2024-01-01 11:30:00+00,22.32,90.7,880.5848,0.0,150.7,0.0,0.0
2024-01-01 11:40:00+00,22.16,91.2,880.7558,0.0,153.2,0.0,0.0
2024-01-01 11:50:00+00,22.11,90.6,880.9869,0.0,147.9,0.0,0.0
2024-01-01 12:00:00+00,22.12,90.1,881.0587,0.0,144.7,0.0,0.0
2024-01-01 12:10:00+00,22.1,90.4,880.9498,0.0,144.5,0.0,0.0
2024-01-01 12:20:00+00,22.05,90.5,881.2002,0.0,120.0,0.0,0.0
2024-01-01 12:30:00+00,22.03,91.0,881.3805,0.0,140.6,0.0,0.0
2024-01-01 12:40:00+00,22.02,91.3,881.517,0.0,143.4,0.0,0.0
2024-01-01 12:50:00+00,21.99,91.4,881.6444,0.0,177.8,0.0,0.0
2024-01-01 13:00:00+00,21.96,91.1,881.6119,0.0,129.5,0.0,0.0
2024-01-01 13:10:00+00,21.93,91.0,881.583,0.0,169.3,0.0,0.0
2024-01-01 13:20:00+00,21.78,91.5,881.5548,0.0,161.8,0.0,0.0
2024-01-01 13:30:00+00,21.64,92.3,881.6345,0.0,163.5,0.0,0.0
2024-01-01 13:40:00+00,21.5,92.9,881.7186,0.0,162.7,0.0,0.0
2024-01-01 13:50:00+00,21.41,92.8,881.8738,0.0,141.0,0.0,0.0
2024-01-01 14:00:00+00,21.4,92.4,881.9334,0.0,140.5,0.0,0.0
2024-01-01 14:10:00+00,21.36,92.4,882.0756,0.0,138.2,0.0,0.0
2024-01-01 14:20:00+00,21.08,92.8,882.1105,0.0,154.3,0.0,0.0
2024-01-01 14:30:00+00,20.91,93.8,882.1562,0.0,161.2,0.0,0.0
2024-01-01 14:40:00+00,20.79,94.6,882.1502,0.0,152.1,0.0,0.2
2024-01-01 14:50:00+00,20.74,95.5,881.9826,0.0,155.6,0.0,0.0
2024-01-01 15:00:00+00,20.66,95.9,881.9217,0.0,133.2,0.0,0.0
2024-01-01 15:10:00+00,20.54,96.4,881.8158,0.0,134.7,0.0,0.0
2024-01-01 15:20:00+00,20.44,96.6,881.7481,0.0,123.1,0.0,0.0
2024-01-01 15:30:00+00,20.32,96.8,881.7177,0.0,98.8,0.0,0.0
2024-01-01 15:40:00+00,20.23,97.2,881.7303,0.0,81.8,0.0,0.0
2024-01-01 15:50:00+00,20.21,97.5,881.6101,0.0,149.5,0.0,0.0
2024-01-01 16:00:00+00,20.18,97.6,881.5107,0.0,179.0,0.0,0.0
2024-01-01 16:10:00+00,20.14,97.7,881.6509,0.0,154.4,0.0,0.0
2024-01-01 16:20:00+00,20.1,97.6,881.7873,0.0,123.6,0.0,0.0
2024-01-01 16:30:00+00,20.03,97.5,881.7511,0.0,161.5,0.0,0.0
2024-01-01 16:40:00+00,19.99,97.6,881.735,0.0,187.4,0.0,0.0
2024-01-01 16:50:00+00,20.07,97.8,881.5617,0.0,179.4,0.0,0.0
2024-01-01 17:00:00+00,20.15,97.8,881.4674,0.0,150.6,0.0,0.0
2024-01-01 17:10:00+00,20.15,97.6,881.3321,0.0,155.2,0.0,0.0
2024-01-01 17:20:00+00,20.15,97.4,881.2589,0.0,151.3,0.0,0.0
2024-01-01 17:30:00+00,20.18,97.1,881.0989,0.0,170.4,0.0,0.0
2024-01-01 17:40:00+00,20.18,96.8,880.9447,0.0,165.0,0.0,0.0
2024-01-01 17:50:00+00,20.2,96.6,880.93,0.0,126.2,0.0,0.0
2024-01-01 18:00:00+00,20.08,96.8,880.9513,0.0,128.4,0.0,0.0
2024-01-01 18:10:00+00,19.9,97.0,881.069,0.0,124.3,0.0,0.0
2024-01-01 18:20:00+00,19.77,97.3,881.1855,0.0,194.6,0.0,0.0
2024-01-01 18:30:00+00,19.61,97.5,881.1984,0.0,163.7,0.0,0.0
2024-01-01 18:40:00+00,19.56,97.6,881.0262,0.0,194.2,0.0,0.0
2024-01-01 18:50:00+00,19.43,97.7,880.9769,0.0,233.4,0.0,0.0
2024-01-01 19:00:00+00,19.46,98.0,880.6943,0.0,236.3,0.0,0.0
2024-01-01 19:10:00+00,19.41,98.0,880.556,0.0,222.2,0.0,0.0
2024-01-01 19:20:00+00,19.28,98.1,880.4502,0.0,150.4,0.0,0.0
2024-01-01 19:30:00+00,19.14,98.1,880.3302,0.0,139.7,0.0,0.0
2024-01-01 19:40:00+00,18.95,98.2,880.1738,0.0,150.5,0.0,0.0
2024-01-01 19:50:00+00,18.93,98.3,880.1711,0.0,126.8,0.0,0.0
2024-01-01 20:00:00+00,19.02,98.4,880.2599,0.0,142.9,0.0,0.0
2024-01-01 20:10:00+00,19.03,98.6,880.3369,0.0,151.1,0.0,0.0
2024-01-01 20:20:00+00,19.06,98.7,880.2773,0.0,138.5,0.0,0.0
2024-01-01 20:30:00+00,19.06,98.6,880.253,0.0,148.0,0.0,0.0
2024-01-01 20:40:00+00,19.07,98.5,880.2365,0.0,157.1,0.0,0.0
2024-01-01 20:50:00+00,19.13,97.9,880.3458,0.0,160.4,0.0,0.0
2024-01-01 21:00:00+00,19.19,97.0,880.3359,0.0,168.4,0.0,0.0
2024-01-01 21:10:00+00,19.37,95.2,880.3096,0.0,171.2,0.0,0.0
2024-01-01 21:20:00+00,19.61,93.5,880.302,0.0,168.0,0.0,0.0
2024-01-01 21:30:00+00,19.75,92.7,880.3168,0.0,135.4,0.0,0.0
2024-01-01 21:40:00+00,19.52,93.8,880.2591,0.0,119.9,0.0,0.0
2024-01-01 21:50:00+00,19.36,94.8,880.2118,0.0,116.0,0.0,0.0
2024-01-01 22:00:00+00,19.21,95.6,880.0222,0.0,135.6,0.0,0.0
2024-01-01 22:10:00+00,19.15,95.8,880.0823,0.0,122.3,0.0,0.0
2024-01-01 22:20:00+00,19.41,94.3,880.2623,0.0,121.9,0.0,0.0
2024-01-01 22:30:00+00,19.69,93.1,880.5113,0.0,127.6,0.0,0.0
2024-01-01 22:40:00+00,19.94,91.3,880.753,0.0,143.9,0.0,0.0
2024-01-01 22:50:00+00,20.2,89.8,880.9525,0.0,157.6,0.419,0.0
2024-01-01 23:00:00+00,20.26,89.1,881.1469,0.0,154.8,5.218,0.0
2024-01-01 23:10:00+00,20.26,89.3,881.2304,0.0,158.3,10.0,0.0
2024-01-01 23:20:00+00,20.24,89.6,881.3312,0.0,171.9,12.17,0.0
2024-01-01 23:30:00+00,20.21,90.2,881.3417,0.0,164.5,19.62,0.0
2024-01-01 23:40:00+00,20.17,90.4,881.252,0.0,149.2,28.26,0.0
2024-01-01 23:50:00+00,20.18,90.5,881.1452,0.0,137.5,32.64,0.0
