date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 05:20:00+00,22.31,81.7,877.975,2.908,128.8,368.9,0.0,0
2024-12-04 05:30:00+00,22.16,82.8,877.8899,2.098,121.2,423.2,0.0,0
2024-12-04 05:40:00+00,22.25,82.5,877.785,1.937,112.2,391.4,0.0,0
2024-12-04 05:50:00+00,22.42,81.9,877.6499,1.43,107.4,287.0,0.0,0
2024-12-04 06:00:00+00,22.55,80.8,877.535,1.152,95.0,358.3,0.0,0
2024-12-04 06:10:00+00,22.71,80.4,877.43,1.094,97.0,435.4,0.0,0
2024-12-04 06:20:00+00,22.94,80.3,877.245,1.668,111.6,558.2,0.0,0
2024-12-04 06:30:00+00,22.92,80.1,877.2,1.322,99.0,313.0,0.0,0
2024-12-04 06:40:00+00,22.66,80.8,877.115,1.484,104.9,254.2,0.0,0
2024-12-04 06:50:00+00,22.52,80.3,877.0799,2.426,144.2,259.1,0.0,0
2024-12-04 07:00:00+00,22.24,81.9,877.0,2.589,126.1,305.2,0.0,0
2024-12-04 07:10:00+00,21.98,83.7,876.9201,2.465,120.5,260.7,0.0,0
2024-12-04 07:20:00+00,21.78,84.6,876.805,2.145,116.7,302.6,0.0,0
2024-12-04 07:30:00+00,21.91,84.3,876.7,1.627,121.2,303.0,0.0,0
2024-12-04 07:40:00+00,21.84,84.4,876.6649,1.577,107.1,322.2,0.0,0
2024-12-04 07:50:00+00,21.73,84.8,876.5249,2.238,112.4,312.7,0.0,0
2024-12-04 08:00:00+00,21.93,84.5,876.5,1.696,112.4,444.4,0.0,0
2024-12-04 08:10:00+00,22.12,83.3,876.5,1.982,117.9,286.8,0.0,0
2024-12-04 08:20:00+00,21.94,83.6,876.53,1.534,108.1,160.9,0.0,0
2024-12-04 08:30:00+00,21.77,83.5,876.5,1.864,117.6,146.7,0.0,0
2024-12-04 08:40:00+00,21.46,84.3,876.5,1.9,117.5,181.9,0.0,0
2024-12-04 08:50:00+00,21.3,91.77110679407049,876.5,2.174,115.5,0.0,0.0,1
2024-12-04 09:00:00+00,21.12,85.2,876.5999,2.031,110.8,152.9,0.0,0
2024-12-04 09:10:00+00,21.0,85.5,876.615,1.709,116.7,136.0,0.0,0
2024-12-04 09:20:00+00,20.93,85.7,876.7199,1.315,97.3,99.3,0.0,0
2024-12-04 09:30:00+00,20.68,86.4,876.85,1.543,107.1,65.78,0.0,0
2024-12-04 09:40:00+00,20.47,86.9,876.975,1.671,120.8,43.59,0.0,0
2024-12-04 09:50:00+00,20.37,87.0,877.0099,1.862,117.9,33.84,0.0,0
2024-12-04 10:00:00+00,20.33,87.1,877.0999,1.454,106.6,23.96,0.0,0
2024-12-04 10:10:00+00,20.19,87.8,877.25,0.774,108.7,14.68,0.0,0
2024-12-04 10:20:00+00,19.86,89.6,877.2999,1.258,114.3,9.9,0.0,0
