============================================================
ANOMALY DETECTION EVALUATION RESULTS
============================================================

Evaluation Date: 2025-10-27 06:19:37
Threshold: 0.6846

ADJUSTMENT STRATEGIES APPLIED:
------------------------------------------------------------
Segment Adjustment: Yes
Lag Tolerance: Yes (tolerance=20 timesteps)

DATASET STATISTICS:
------------------------------------------------------------
total_samples: 3896
true_anomalies: 392
predicted_anomalies: 486
original_true_anomalies: 190

CONFUSION MATRIX:
------------------------------------------------------------
TP: 372
TN: 3390
FP: 114
FN: 20

PERFORMANCE METRICS:
------------------------------------------------------------
accuracy: 0.9656
precision: 0.7654
recall: 0.9490
f1_score: 0.8474
specificity: 0.9675
mcc: 0.8343
roc_auc: 0.8554
pr_auc: 0.7007
kappa: 0.8282
detection_rate: 0.9490
false_positive_rate: 0.0325

FALSE POSITIVES (FP):
------------------------------------------------------------
Count: 114
Indices: [376, 573, 574, 575, 576, 621, 622, 623, 624, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 1105, 1132, 1133, 1157, 1158, 1159, 1160, 1161, 1162, 1282, 1283, 1284, 1285, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1322, 1323, 1330, 1332, 1359, 1360, 1364, 1368, 1716, 1717, 1718, 1719, 1746, 1988, 1995, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2615, 2781, 2796, 3147, 3453, 3520, 3673, 3674, 3675, 3676, 3677, 3678, 3691, 3692, 3693, 3718, 3872, 3873, 3874, 3875, 3878, 3880, 3883, 3884, 3885, 3886]

Details (Index | Anomaly Score | Timestamp):
     376 |     0.777117 | 2024-12-07 12:50:00+00
     573 |     0.723918 | 2024-12-08 21:40:00+00
     574 |     0.820028 | 2024-12-08 21:50:00+00
     575 |     0.796608 | 2024-12-08 22:00:00+00
     576 |     0.752344 | 2024-12-08 22:10:00+00
     621 |     0.692303 | 2024-12-09 05:40:00+00
     622 |     0.699219 | 2024-12-09 05:50:00+00
     623 |     0.815508 | 2024-12-09 06:00:00+00
     624 |     0.760430 | 2024-12-09 06:10:00+00
     626 |     0.742381 | 2024-12-09 06:30:00+00
     627 |     0.836428 | 2024-12-09 06:40:00+00
     628 |     0.723369 | 2024-12-09 06:50:00+00
     629 |     0.811627 | 2024-12-09 07:00:00+00
     630 |     0.998088 | 2024-12-09 07:10:00+00
     631 |     1.056345 | 2024-12-09 07:20:00+00
     632 |     0.888571 | 2024-12-09 07:30:00+00
     633 |     0.952447 | 2024-12-09 07:40:00+00
     634 |     0.836594 | 2024-12-09 07:50:00+00
     635 |     0.779583 | 2024-12-09 08:00:00+00
     636 |     0.748964 | 2024-12-09 08:10:00+00
     637 |     0.994840 | 2024-12-09 08:20:00+00
     638 |     0.763216 | 2024-12-09 08:30:00+00
     639 |     0.896088 | 2024-12-09 08:40:00+00
     640 |     0.938077 | 2024-12-09 08:50:00+00
     641 |     1.143654 | 2024-12-09 09:00:00+00
     642 |     1.005837 | 2024-12-09 09:10:00+00
     643 |     0.982557 | 2024-12-09 09:20:00+00
     644 |     0.909880 | 2024-12-09 09:30:00+00
     645 |     0.860143 | 2024-12-09 09:40:00+00
    1105 |     0.717304 | 2024-12-12 14:50:00+00
    1132 |     0.944674 | 2024-12-12 19:20:00+00
    1133 |     0.870997 | 2024-12-12 19:30:00+00
