timestamp,tt,rh,pp,ws,wd,sr,rr
2025-10-13T05:26:11.021184,21.36,63.5,848.6183,1.306,282.5,466.1,0.0
2025-10-13T05:26:12.021569,21.96,62.7,848.5338,1.113,289.2,554.1,0.0
2025-10-13T05:26:13.021958,22.12,62.0,848.5,1.071,279.7,413.6,0.0
2025-10-13T05:26:14.023451,22.54,60.5,848.425,1.095,286.2,442.8,0.0
2025-10-13T05:26:15.024147,22.43,60.1,848.3166,1.23,275.4,469.5,0.0
2025-10-13T05:26:16.025121,22.48,59.9,848.1566,1.054,278.0,671.1,0.0
2025-10-13T05:26:17.025983,23.33,57.6,847.985,1.233,268.1,618.9,0.0
2025-10-13T05:26:18.026543,23.36,56.8,847.8304,0.711,250.5,492.6,0.0
2025-10-13T05:26:19.027018,23.31,57.3,847.6799,0.906,264.6,516.2,0.0
2025-10-13T05:26:20.028101,24.0,56.5,847.5949,1.06,286.8,573.7,0.0
2025-10-13T05:26:21.028501,23.99,56.7,847.4933,1.63,294.8,555.6,0.0
2025-10-13T05:26:22.028497,24.84,56.0,847.3534,1.374,272.3,844.0,0.0
2025-10-13T05:26:23.029731,25.66,53.5,847.2533,1.081,279.6,893.0,0.0
2025-10-13T05:26:24.030743,26.26,50.9,847.1268,0.821,252.9,890.0,0.0
2025-10-13T05:26:25.031408,26.45,48.5,847.0033,0.806,245.6,788.3,0.0
2025-10-13T05:26:26.032432,25.7,50.2,846.8534,1.761,257.9,986.0,0.0
2025-10-13T05:26:27.033268,26.16,50.3,846.7483,1.89,282.4,987.0,0.0
2025-10-13T05:26:28.045708,26.44,50.5,846.695,2.214,295.0,699.6,0.0
2025-10-13T05:26:29.034584,26.67,50.8,846.6199,2.061,275.6,455.7,0.0
2025-10-13T05:26:30.035436,26.53,51.5,846.6,2.144,295.6,662.6,0.0
2025-10-13T05:26:31.035933,26.76,50.9,846.49,2.299,269.4,925.0,0.0
2025-10-13T05:26:32.036807,26.59,51.0,846.4217,2.037,281.2,703.3,0.0
2025-10-13T05:26:33.037920,26.71,51.2,846.3034,2.326,272.6,760.4,0.0
2025-10-13T05:26:34.038502,25.85,53.4,846.2299,1.799,285.3,561.5,0.0
2025-10-13T05:26:35.039758,26.35,52.0,846.2,1.7,294.2,444.7,0.0
2025-10-13T05:26:36.043768,25.2,54.9,846.1946,2.354,308.1,270.1,0.0
2025-10-13T05:26:37.045355,24.43,56.8,846.0999,2.404,312.2,251.8,0.0
2025-10-13T05:26:38.046067,24.42,55.5,846.0666,1.948,299.2,233.5,0.0
2025-10-13T05:26:39.046959,24.76,54.8,846.035,1.102,218.1,364.0,0.0
2025-10-13T05:26:40.047714,23.98,61.9,846.0367,2.356,191.7,190.2,0.0
2025-10-13T05:26:41.048011,22.81,65.9,846.0583,2.29,197.9,137.6,0.0
2025-10-13T05:26:42.049419,22.0,69.2,846.0,2.227,205.0,97.6,0.0
2025-10-13T05:26:43.049008,21.51,70.7,845.9834,1.066,202.4,81.9,0.0
2025-10-13T05:26:44.050639,21.36,71.3,845.9,2.164,149.9,72.5,0.0
2025-10-13T05:26:45.051351,20.93,72.7,845.9,2.433,151.5,90.2,0.0
2025-10-13T05:26:46.052327,20.77,72.2,845.9,1.566,157.3,62.3,0.0
2025-10-13T05:26:47.053461,20.52,74.4,845.9516,2.12,191.3,74.2,0.0
2025-10-13T05:26:48.054548,20.43,75.7,846.0518,2.088,191.7,169.4,0.0
2025-10-13T05:26:49.055414,21.49,69.9,846.0999,1.957,193.0,251.4,0.0
2025-10-13T05:26:50.056814,21.26,69.7,846.0999,1.837,165.0,166.2,0.0
2025-10-13T05:26:51.057526,20.78,70.9,846.2066,2.082,178.5,91.8,0.0
2025-10-13T05:26:52.058814,20.31,73.3,846.2999,1.389,181.9,91.3,0.0
2025-10-13T05:26:53.059397,20.19,73.4,846.34,1.822,193.6,83.8,0.0
2025-10-13T05:26:54.060452,19.8,75.1,846.4678,1.15,203.0,44.6,0.0
2025-10-13T05:26:55.061076,19.28,76.8,846.6516,1.286,213.8,28.4,0.0
2025-10-13T05:26:56.061767,18.76,77.1,846.6534,1.277,187.6,13.8,0.0
2025-10-13T05:26:57.062376,18.27,78.7,846.8366,1.401,139.3,5.4,0.0
2025-10-13T05:26:58.062901,17.94,79.9,846.9633,1.549,153.9,0.6,0.0
2025-10-13T05:26:59.071768,17.69,82.6,847.055,0.612,127.9,0.0,0.0
2025-10-13T05:27:00.073157,17.43,83.5,847.1392,0.484,107.1,0.0,0.0
2025-10-13T05:27:01.074874,17.2,84.2,847.2633,0.353,63.8,0.0,0.0
2025-10-13T05:27:02.074640,16.96,84.0,847.3382,0.768,104.4,0.0,0.0
2025-10-13T05:27:03.075789,16.66,83.7,847.4,0.725,108.9,0.0,0.0
2025-10-13T05:27:04.076616,16.51,83.3,847.495,0.69,99.3,0.0,0.0
2025-10-13T05:27:05.077353,16.22,84.2,847.6116,0.696,105.4,0.0,0.0
2025-10-13T05:27:06.077835,16.03,84.7,847.8053,0.728,106.5,0.0,0.0
2025-10-13T05:27:07.078472,16.01,84.9,847.9134,0.749,76.5,0.0,0.0
2025-10-13T05:27:08.079732,16.1,85.0,848.0482,0.324,88.5,0.0,0.0
2025-10-13T05:27:09.080656,16.25,84.5,848.1766,0.63,104.5,0.0,0.0
2025-10-13T05:27:10.081405,16.13,85.6,848.2,0.381,70.9,0.0,0.0
2025-10-13T05:27:11.082290,16.33,86.6,848.2,0.838,76.0,0.0,0.0
2025-10-13T05:27:12.082749,16.61,86.5,848.3071,0.711,61.7,0.0,0.0
2025-10-13T05:27:13.083256,16.88,85.6,848.4,0.773,61.1,0.0,0.0
2025-10-13T05:27:14.084464,16.97,85.1,848.4066,0.64,95.6,0.0,0.0
2025-10-13T05:27:15.085315,16.69,85.1,848.5283,0.215,79.6,0.0,0.0
2025-10-13T05:27:16.086107,16.22,86.2,848.5999,0.33,128.1,0.0,0.0
2025-10-13T05:27:17.086898,15.85,86.7,848.645,0.601,134.1,0.0,0.0
2025-10-13T05:27:18.087797,15.53,86.8,848.8053,0.491,131.4,0.0,0.0
2025-10-13T05:27:19.088480,15.21,86.2,848.9,0.601,117.9,0.0,0.0
2025-10-13T05:27:20.089138,15.1,86.6,848.9,0.585,131.4,0.0,0.0
2025-10-13T05:27:21.089900,15.01,86.1,848.9,0.863,138.1,0.0,0.0
2025-10-13T05:27:22.090833,14.94,85.9,848.815,0.831,143.4,0.0,0.0
2025-10-13T05:27:23.091281,14.86,86.6,848.7999,1.037,152.3,0.0,0.0
2025-10-13T05:27:24.092205,14.8,87.3,848.7999,0.961,153.1,0.0,0.0
2025-10-13T05:27:25.093065,14.78,88.4,848.8866,1.169,151.1,0.0,0.0
2025-10-13T05:27:26.093328,14.88,88.2,848.9,1.199,144.4,0.0,0.0
2025-10-13T05:27:27.094544,14.88,88.1,848.9,1.077,149.8,0.0,0.0
2025-10-13T05:27:28.095008,14.8,88.2,848.8633,1.078,143.6,0.0,0.0
2025-10-13T05:27:29.095997,14.8,88.4,848.8534,1.032,149.0,0.0,0.0
2025-10-13T05:27:30.096885,14.7,88.8,848.9214,1.062,154.0,0.0,0.0
2025-10-13T05:27:31.097812,14.79,89.2,849.0,1.214,155.3,0.0,0.0
2025-10-13T05:27:32.098842,14.8,89.2,849.0,0.942,142.8,0.0,0.0
2025-10-13T05:27:33.099772,14.75,88.9,848.905,1.057,109.5,0.0,0.0
2025-10-13T05:27:34.100343,14.63,89.1,848.7966,0.886,103.1,0.0,0.0
2025-10-13T05:27:35.101252,14.43,88.5,848.6483,1.049,141.3,0.0,0.0
2025-10-13T05:27:36.101929,14.22,88.8,848.545,0.765,136.0,0.0,0.0
2025-10-13T05:27:37.102573,13.96,89.7,848.4066,1.092,161.8,0.0,0.0
2025-10-13T05:27:38.103289,13.8,90.7,848.2783,1.027,129.7,0.0,0.0
2025-10-13T05:27:39.103926,13.68,90.0,848.0882,0.964,139.0,0.0,0.0
