date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,,,,,,,0.0
2024-01-01 00:10:00+00,18.61,94.5,848.9907,0.228,208.1,199.5,0.0
2024-01-01 00:20:00+00,19.1,91.6,849.1483,0.516,241.3,302.9,0.0
2024-01-01 00:30:00+00,20.06,88.9,849.2783,0.609,296.9,261.0,0.0
2024-01-01 00:40:00+00,20.05,88.8,849.2999,1.161,309.4,329.9,0.0
2024-01-01 00:50:00+00,20.4,87.6,849.185,0.838,290.3,514.6,0.0
2024-01-01 01:00:00+00,21.33,84.4,849.2117,1.276,279.2,577.4,0.0
2024-01-01 01:10:00+00,21.1,84.4,849.4916,1.137,279.3,299.1,0.0
2024-01-01 01:20:00+00,20.38,86.6,849.5999,1.323,279.2,293.5,0.0
2024-01-01 01:30:00+00,20.93,86.2,849.6466,1.303,290.2,356.9,0.0
2024-01-01 01:40:00+00,21.15,85.7,849.7433,1.545,301.0,247.1,0.0
2024-01-01 01:50:00+00,20.81,86.3,849.7816,1.239,295.2,254.1,0.0
2024-01-01 02:00:00+00,20.57,86.8,849.9,1.309,281.7,193.3,0.0
2024-01-01 02:10:00+00,20.64,86.4,849.8822,0.917,281.7,224.6,0.0
2024-01-01 02:20:00+00,21.19,85.6,849.7083,1.443,298.7,290.0,0.0
2024-01-01 02:30:00+00,21.45,83.7,849.675,1.078,301.4,312.8,0.0
2024-01-01 02:40:00+00,21.44,84.1,849.7,1.093,292.3,341.6,0.0
2024-01-01 02:50:00+00,22.05,82.1,849.7,0.913,290.4,436.7,0.0
2024-01-01 03:00:00+00,22.33,78.98,849.6866,1.038,282.2,462.7,0.0
2024-01-01 03:10:00+00,22.63,80.0,849.5874,1.152,294.5,486.9,0.0
2024-01-01 03:20:00+00,22.67,80.5,849.4366,1.375,289.7,561.8,0.0
2024-01-01 03:30:00+00,23.13,78.52,849.4,1.255,284.9,494.9,0.0
2024-01-01 03:40:00+00,22.57,80.4,849.3034,1.275,291.5,358.8,0.0
2024-01-01 03:50:00+00,23.19,79.87,849.115,1.497,298.8,633.3,0.0
2024-01-01 04:00:00+00,23.34,76.4,849.0766,1.297,283.4,598.3,0.0
2024-01-01 04:10:00+00,23.95,76.32,849.0624,1.608,280.8,669.6,0.0
