date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 09:40:00+00,18.32,97.3,845.0,1.544,137.9,44.57,0.6,0
2024-12-04 09:50:00+00,18.17,97.2,845.0716,1.657,141.4,46.4,0.4,0
2024-12-04 10:00:00+00,18.21,97.3,845.1733,0.959,152.8,41.01,0.0,0
2024-12-04 10:10:00+00,18.2,97.4,845.2,1.331,137.3,26.96,0.2,0
2024-12-04 10:20:00+00,18.09,97.4,845.2517,1.21,135.9,13.33,0.2,0
2024-12-04 10:30:00+00,18.0,97.5,845.3099,0.763,130.5,6.745,0.6,0
2024-12-04 10:40:00+00,17.99,97.5,845.4734,0.132,197.1,2.763,0.4,0
2024-12-04 10:50:00+00,17.94,97.6,845.5566,0.305,162.1,1.016,0.0,0
2024-12-04 11:00:00+00,17.98,97.7,845.6399,0.738,138.9,0.205,0.2,0
2024-12-04 11:10:00+00,17.9,97.8,845.655,0.229,114.1,0.0,0.0,0
2024-12-04 11:20:00+00,17.93,97.9,845.82,0.032,129.9,0.0,0.0,0
2024-12-04 11:30:00+00,17.9,97.9,845.9366,1.38,153.2,0.0,0.2,0
2024-12-04 11:40:00+00,17.89,97.9,846.0,0.552,151.6,0.0,0.0,0
2024-12-04 11:50:00+00,17.8,98.0,846.0266,0.0,126.9,0.0,0.0,0
2024-12-04 12:00:00+00,17.8,98.0,846.0999,0.0,155.0,0.0,0.2,0
2024-12-04 12:10:00+00,17.8,98.0,846.1178,0.0,101.7,0.0,0.0,0
2024-12-04 12:20:00+00,17.8,98.0,846.265,0.278,133.0,0.0,0.0,0
2024-12-04 12:30:00+00,17.8,98.0,846.37,1.552,148.5,0.0,0.2,0
2024-12-04 12:40:00+00,17.72,98.0,846.47,1.681,151.5,0.0,0.0,0
2024-12-04 12:50:00+00,17.7,98.0,846.4766,1.026,132.7,0.0,0.4,0
2024-12-04 13:00:00+00,17.61,98.0,846.5,1.272,116.1,0.0,0.0,0
2024-12-04 13:10:00+00,17.6,91.77110679407049,846.6303,0.917,116.7,0.0,0.0,1
2024-12-04 13:20:00+00,17.6,97.8,846.74,0.599,124.3,0.0,0.0,0
2024-12-04 13:30:00+00,17.6,97.8,846.7999,0.352,150.2,0.0,0.0,0
2024-12-04 13:40:00+00,17.59,97.8,846.7999,1.563,144.8,0.0,0.0,0
2024-12-04 13:50:00+00,17.54,97.8,846.8366,1.423,144.3,0.0,0.0,0
2024-12-04 14:00:00+00,17.46,97.7,846.9,1.163,155.9,0.0,0.0,0
2024-12-04 14:10:00+00,18.05,92.7,846.7224,1.061,190.0,2.169,0.0,0
2024-12-04 14:20:00+00,18.05,92.7,846.7224,1.061,190.0,2.169,0.0,0
2024-12-04 14:30:00+00,17.41,97.8,846.9375,1.447,143.2,0.0,17.4,0
2024-12-04 14:40:00+00,17.32,97.9,846.7999,1.2,144.0,0.0,0.0,0
2024-12-04 14:50:00+00,17.34,97.9,846.7999,0.9,128.4,0.0,0.0,0
2024-12-04 15:00:00+00,17.3,97.9,846.7999,0.383,117.3,0.0,0.0,0
2024-12-04 15:10:00+00,17.29,98.0,846.7999,0.0,122.3,0.0,0.0,0
2024-12-04 15:20:00+00,17.2,97.9,846.7999,0.0,103.7,0.0,0.0,0
2024-12-04 15:30:00+00,17.23,98.0,846.7183,0.406,84.0,0.0,0.0,0
2024-12-04 15:40:00+00,17.2,98.0,846.6817,0.359,81.7,0.0,0.0,0
2024-12-04 15:50:00+00,17.2,98.0,846.5999,0.507,74.52,0.0,0.0,0
2024-12-04 16:00:00+00,17.1,98.0,846.59,0.132,74.3,0.0,0.0,0
2024-12-04 16:10:00+00,17.16,98.0,846.4393,0.725,62.8,0.0,0.2,0
2024-12-04 16:20:00+00,17.08,98.0,846.3117,0.452,97.7,0.0,0.0,0
2024-12-04 16:30:00+00,17.03,98.0,846.2916,0.762,179.2,0.0,0.0,0
2024-12-04 16:40:00+00,16.92,98.0,846.1983,0.804,163.1,0.0,0.0,0
2024-12-04 16:50:00+00,16.92,98.0,846.0633,0.681,127.3,0.0,0.0,0
2024-12-04 17:00:00+00,16.85,98.0,845.945,0.059,127.3,0.0,0.0,0
2024-12-04 17:10:00+00,16.84,98.1,845.8035,0.0,131.4,0.0,0.0,0
2024-12-04 17:20:00+00,16.79,98.1,845.6483,0.0,94.7,0.0,0.0,0
2024-12-04 17:30:00+00,16.7,98.1,845.465,0.0,123.6,0.0,0.0,0
2024-12-04 17:40:00+00,16.75,98.2,845.2599,0.992,99.1,0.0,0.0,0
2024-12-04 17:50:00+00,16.86,98.1,845.075,0.701,90.2,0.0,0.0,0
2024-12-04 18:00:00+00,16.8,98.0,844.9016,0.287,111.2,0.0,0.0,0
2024-12-04 18:10:00+00,16.8,98.0,844.8142,1.353,168.1,0.0,0.0,0
2024-12-04 18:20:00+00,16.8,98.0,844.6917,1.243,156.7,0.0,0.0,0
2024-12-04 18:30:00+00,16.8,98.0,844.5482,1.167,149.5,0.0,0.0,0
2024-12-04 18:40:00+00,16.7,98.0,844.4566,0.776,130.2,0.0,0.0,0
2024-12-04 18:50:00+00,16.61,98.0,844.3583,0.779,131.8,0.0,0.0,0
2024-12-04 19:00:00+00,16.64,98.1,844.2999,1.01,133.9,0.0,0.0,0
2024-12-04 19:10:00+00,16.6,98.1,844.2625,0.891,168.9,0.0,0.0,0
2024-12-04 19:20:00+00,16.58,98.1,844.1582,0.448,97.1,0.0,0.0,0
2024-12-04 19:30:00+00,16.5,98.1,844.0999,0.67,114.1,0.0,0.0,0
2024-12-04 19:40:00+00,16.53,98.1,844.0199,0.0,124.6,0.0,0.0,0
2024-12-04 19:50:00+00,16.6,98.2,844.0,0.0,89.6,0.0,0.0,0
2024-12-04 20:00:00+00,16.6,98.1,843.9083,0.0,104.0,0.0,0.0,0
2024-12-04 20:10:00+00,16.6,98.1,843.9,0.0,142.4,0.0,0.0,0
2024-12-04 20:20:00+00,7.204083249649097,98.1,843.9,8.569104889903887,133.6,0.0,0.0,1
2024-12-04 20:30:00+00,16.6,98.1,843.8434,0.0,134.0,0.0,0.0,0
2024-12-04 20:40:00+00,16.6,98.1,843.8917,0.0,152.5,0.0,0.0,0
2024-12-04 20:50:00+00,16.6,98.1,843.9533,0.0,155.4,0.0,0.0,0
2024-12-04 21:00:00+00,16.61,98.1,844.045,0.0,130.9,0.0,0.0,0
2024-12-04 21:10:00+00,16.6,98.1,844.175,0.0,109.3,0.0,0.0,0
2024-12-04 21:20:00+00,16.6,98.1,844.2599,0.0,110.2,0.0,0.0,0
2024-12-04 21:30:00+00,16.6,98.1,844.4182,0.0,142.5,0.0,0.0,0
2024-12-04 21:40:00+00,16.67,98.1,844.5633,0.0,230.5,0.0,0.0,0
2024-12-04 21:50:00+00,16.7,98.1,844.5999,0.0,245.8,0.0,0.0,0
2024-12-04 22:00:00+00,16.69,98.0,844.5983,0.0,204.2,0.0,0.0,0
2024-12-04 22:10:00+00,16.7,98.1,844.5125,0.0,108.0,0.0,0.0,0
2024-12-04 22:20:00+00,16.7,98.1,844.5999,0.0,126.0,0.0,0.0,0
2024-12-04 22:30:00+00,16.61,98.0,844.655,0.0,123.5,1.049,0.0,0
2024-12-04 22:40:00+00,16.51,98.0,844.7584,0.0,86.8,7.75,0.0,0
2024-12-04 22:50:00+00,16.66,98.1,844.9433,0.0,133.7,17.08,0.0,0
2024-12-04 23:00:00+00,16.77,98.1,845.145,0.0,291.1,25.35,0.0,0
2024-12-04 23:10:00+00,16.9,98.2,845.3178,0.0,221.1,35.62,0.0,0
