date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,21.87,91.1,923.8553,0.63,128.7,137.8,24.2
2024-01-01 00:10:00+00,22.11,91.2,924.1663,0.751,109.0,152.6,0.2
2024-01-01 00:20:00+00,22.32,91.3,924.4046,0.97,129.4,198.8,0.0
2024-01-01 00:30:00+00,22.5,90.5,924.6507,1.232,136.4,270.4,0.2
2024-01-01 00:40:00+00,22.81,89.9,924.7926,0.621,123.0,258.7,0.0
2024-01-01 00:50:00+00,23.03,88.6,924.8961,1.016,91.8,296.4,0.0
2024-01-01 01:00:00+00,23.42,87.1,924.7855,0.817,93.5,403.9,0.2
2024-01-01 01:10:00+00,24.13,85.3,924.7803,0.449,101.7,491.7,0.0
2024-01-01 01:20:00+00,24.64,82.6,924.779,0.664,126.1,439.4,0.2
2024-01-01 01:30:00+00,24.65,82.3,924.8899,0.697,113.5,453.5,0.0
2024-01-01 01:40:00+00,25.54,79.41,924.937,0.843,95.0,631.8,0.2
2024-01-01 01:50:00+00,26.15,76.88,925.1046,1.272,152.9,700.6,0.0
2024-01-01 02:00:00+00,26.62,75.86,925.0924,0.858,182.4,480.6,0.2
2024-01-01 02:10:00+00,26.46,75.17,925.0061,1.246,134.6,461.5,0.0
2024-01-01 02:20:00+00,26.09,74.89,924.977,0.917,145.8,455.1,0.0
2024-01-01 02:30:00+00,26.45,73.78,924.9255,0.79,113.3,627.8,0.2
2024-01-01 02:40:00+00,26.87,72.88,924.7859,1.105,143.7,926.0,0.0
2024-01-01 02:50:00+00,27.59,69.85,924.7586,0.831,104.2,795.1,0.2
2024-01-01 03:00:00+00,28.21,67.44,924.6191,0.616,177.1,948.0,0.0
2024-01-01 03:10:00+00,28.65,64.38,924.4875,0.919,167.1,985.0,0.0
2024-01-01 03:20:00+00,28.93,63.13,924.3979,1.115,132.7,902.0,0.2
2024-01-01 03:30:00+00,29.27,62.27,924.2621,0.778,134.1,932.0,0.0
2024-01-01 03:40:00+00,29.33,62.37,924.0948,1.016,124.0,950.0,0.2
2024-01-01 03:50:00+00,29.25,63.11,923.9831,0.809,153.0,632.6,0.0
2024-01-01 04:00:00+00,29.19,61.96,923.9065,1.089,160.6,431.5,0.0
2024-01-01 04:10:00+00,29.18,61.92,923.8682,1.256,127.2,712.3,0.2
2024-01-01 04:20:00+00,29.28,61.61,923.6878,0.415,186.0,621.4,0.0
2024-01-01 04:30:00+00,29.35,60.99,923.5326,0.815,135.5,474.8,0.0
2024-01-01 04:40:00+00,29.09,61.24,923.3201,1.024,155.8,260.6,0.0
2024-01-01 04:50:00+00,29.06,62.07,923.2325,1.033,177.9,232.3,0.2
2024-01-01 05:00:00+00,28.57,63.23,923.1601,1.1,133.8,289.7,0.0
2024-01-01 05:10:00+00,29.09,62.62,922.9973,0.624,136.8,482.8,0.0
2024-01-01 05:20:00+00,29.25,61.9,922.8436,0.67,111.7,424.3,0.2
2024-01-01 05:30:00+00,29.01,62.25,922.6711,0.125,172.8,373.4,0.0
2024-01-01 05:40:00+00,29.08,63.39,922.573,0.847,260.9,250.8,0.0
2024-01-01 05:50:00+00,28.65,64.58,922.5157,0.763,230.6,181.5,0.0
2024-01-01 06:00:00+00,28.72,64.01,922.4111,0.878,261.6,277.4,0.0
2024-01-01 06:10:00+00,29.06,62.65,922.1549,0.575,240.7,480.2,0.2
2024-01-01 06:20:00+00,29.45,61.4,922.0559,0.464,272.4,568.3,0.0
2024-01-01 06:30:00+00,29.85,61.0,921.9169,0.509,200.5,530.1,0.0
2024-01-01 06:40:00+00,29.69,65.82,921.7605,1.126,258.0,420.1,0.0
2024-01-01 06:50:00+00,29.6,65.89,921.583,1.001,257.8,459.9,0.0
2024-01-01 07:00:00+00,29.85,65.86,921.4102,0.992,256.4,451.8,0.0
2024-01-01 07:10:00+00,29.64,65.62,921.3807,1.066,227.6,501.0,0.2
2024-01-01 07:20:00+00,29.83,65.36,921.2774,0.806,244.5,456.9,0.0
2024-01-01 07:30:00+00,29.83,65.02,921.2217,1.018,250.5,456.6,0.0
2024-01-01 07:40:00+00,29.74,65.97,921.1489,1.051,249.9,477.5,0.0
2024-01-01 07:50:00+00,29.9,65.13,921.1101,1.433,266.2,491.9,0.0
2024-01-01 08:00:00+00,29.94,65.08,921.0163,1.491,259.5,466.1,0.0
2024-01-01 08:10:00+00,29.92,64.73,920.8682,1.455,272.1,443.0,0.0
2024-01-01 08:20:00+00,29.84,64.93,920.8088,1.31,258.1,413.4,0.0
2024-01-01 08:30:00+00,29.64,65.84,920.8043,1.366,261.1,321.5,0.0
2024-01-01 08:40:00+00,29.06,66.28,920.9237,1.352,247.5,258.9,0.0
2024-01-01 08:50:00+00,28.87,65.63,920.7917,1.492,268.2,210.5,0.0
2024-01-01 09:00:00+00,28.3,66.58,920.977,1.537,254.9,143.4,0.0
2024-01-01 09:10:00+00,28.19,67.73,921.1497,1.078,257.8,90.8,0.0
2024-01-01 09:20:00+00,27.84,69.37,920.9781,1.225,267.4,50.67,0.0
2024-01-01 09:30:00+00,27.26,73.72,921.0264,0.948,265.2,14.79,0.0
2024-01-01 09:40:00+00,26.71,76.34,921.0786,0.73,244.6,2.354,0.0
2024-01-01 09:50:00+00,26.22,77.63,921.3533,1.121,252.4,5.485,0.0
2024-01-01 10:00:00+00,25.9,78.09,921.4357,0.706,221.5,11.85,0.0
2024-01-01 10:10:00+00,25.81,76.24,921.7561,0.505,251.4,13.27,0.0
2024-01-01 10:20:00+00,25.83,75.03,921.8707,0.786,256.1,12.99,0.0
2024-01-01 10:30:00+00,25.88,73.83,922.1961,0.564,270.1,8.08,0.0
2024-01-01 10:40:00+00,25.91,73.73,922.0279,0.355,261.6,4.744,0.2
2024-01-01 10:50:00+00,25.92,74.53,922.3117,0.325,99.9,1.874,0.0
2024-01-01 11:00:00+00,25.9,78.19,922.6515,0.497,130.3,0.884,0.0
2024-01-01 11:10:00+00,25.6,79.51,922.788,0.735,192.0,0.064,0.0
2024-01-01 11:20:00+00,25.4,81.6,922.921,0.438,205.6,0.0,0.0
2024-01-01 11:30:00+00,25.06,84.0,923.0739,0.546,235.0,0.0,0.0
2024-01-01 11:40:00+00,24.8,85.4,922.8942,0.678,243.0,0.0,0.0
2024-01-01 11:50:00+00,24.48,85.5,923.0627,0.64,277.0,0.0,0.0
2024-01-01 12:00:00+00,24.4,85.6,923.2581,0.239,111.4,0.0,0.0
2024-01-01 12:10:00+00,24.5,85.7,923.2166,0.484,80.1,0.0,0.0
2024-01-01 12:20:00+00,24.55,85.2,923.5541,0.454,202.2,0.0,0.0
2024-01-01 12:30:00+00,24.33,83.6,923.7887,0.1,232.1,0.0,0.0
2024-01-01 12:40:00+00,24.33,83.6,923.9582,0.348,240.6,0.0,0.0
2024-01-01 12:50:00+00,24.29,82.9,923.9577,0.263,211.3,0.0,0.0
2024-01-01 13:00:00+00,24.45,82.1,923.8274,0.358,226.8,0.0,0.0
2024-01-01 13:10:00+00,24.51,82.0,923.8535,0.266,261.3,0.0,0.0
2024-01-01 13:20:00+00,24.5,81.7,923.8186,0.332,275.4,0.0,0.0
2024-01-01 13:30:00+00,24.53,81.9,923.9062,0.878,258.2,0.0,0.0
2024-01-01 13:40:00+00,24.36,82.6,924.1857,1.187,264.9,0.0,0.0
2024-01-01 13:50:00+00,24.24,84.1,924.3857,0.593,242.7,0.0,0.0
