date,tt,rh,pp,ws,wd,sr,rr,is_anomaly
2024-12-04 06:50:00+00,25.03,79.0,920.5594,1.019,247.0,343.4,0.0,0
2024-12-04 07:01:00+00,25.03,78.36,920.4955,0.928,260.3,302.9,0.0,0
2024-12-04 07:10:00+00,25.08,77.86,920.3304,1.019,240.4,354.4,0.0,0
2024-12-04 07:20:00+00,25.15,77.33,920.2071,0.956,243.9,346.9,0.0,0
2024-12-04 07:30:00+00,25.23,76.55,920.0979,1.147,263.1,253.2,0.0,0
2024-12-04 07:40:00+00,25.22,76.52,919.9934,0.979,253.4,155.6,0.2,0
2024-12-04 07:50:00+00,24.75,76.79,920.0065,1.621,258.4,66.2,0.0,0
2024-12-04 08:01:00+00,24.17,78.77,920.0926,0.981,242.0,138.8,0.0,0
2024-12-04 08:10:00+00,23.81,79.2,920.175,1.124,243.7,94.2,0.0,0
2024-12-04 08:20:00+00,23.38,80.5,920.2071,0.902,248.9,86.5,0.0,0
2024-12-04 08:30:00+00,23.07,81.9,920.157,0.81,245.5,96.8,0.0,0
2024-12-04 08:40:00+00,23.01,82.6,920.1313,0.737,233.5,122.4,0.2,0
2024-12-04 08:50:00+00,23.06,82.8,920.1281,0.811,235.6,128.4,0.0,0
2024-12-04 09:01:00+00,23.18,82.7,920.1103,0.723,250.8,134.6,0.0,0
2024-12-04 09:10:00+00,23.33,82.3,920.1288,0.57,256.8,93.2,0.2,0
2024-12-04 09:20:00+00,23.4,81.9,920.1747,0.733,265.0,99.0,0.0,0
2024-12-04 09:30:00+00,23.44,81.3,920.2806,1.403,248.4,98.1,0.0,0
2024-12-04 09:40:00+00,23.44,80.9,920.3721,1.414,255.3,84.2,0.2,0
2024-12-04 09:50:00+00,23.39,80.9,920.4885,1.118,258.4,63.09,0.0,0
2024-12-04 10:01:00+00,23.28,80.5,920.549,1.074,253.4,59.72,0.0,0
2024-12-04 10:10:00+00,23.14,80.6,920.6412,0.69,235.8,41.44,0.2,0
2024-12-04 10:20:00+00,22.9,91.77110679407049,920.706,0.981,264.0,0.0,0.0,1
2024-12-04 10:30:00+00,22.7,81.3,920.733,1.156,253.3,16.75,0.0,0
2024-12-04 10:40:00+00,22.54,81.9,920.8642,1.275,237.4,8.48,0.2,0
2024-12-04 10:50:00+00,22.45,82.3,920.9504,1.235,263.9,2.434,0.0,0
2024-12-04 11:01:00+00,22.4,82.7,921.0134,1.028,256.9,0.0,0.2,0
2024-12-04 11:10:00+00,22.34,82.8,921.1169,0.869,250.9,0.0,0.0,0
2024-12-04 11:20:00+00,22.3,82.8,921.2206,1.022,228.8,0.0,0.2,0
2024-12-04 11:30:00+00,22.26,82.7,921.2867,1.008,249.8,0.0,0.2,0
2024-12-04 11:40:00+00,22.24,82.7,921.3407,1.058,250.0,0.389,0.0,0
2024-12-04 11:50:00+00,22.27,82.6,921.3706,0.889,240.2,0.922,0.2,0
2024-12-04 12:01:00+00,22.31,82.5,921.4903,0.549,234.4,1.131,0.2,0
2024-12-04 12:10:00+00,22.34,82.3,921.6597,0.506,255.0,1.089,0.0,0
2024-12-04 12:20:00+00,22.39,82.2,921.7726,0.438,271.7,1.25,0.2,0
2024-12-04 12:30:00+00,22.47,81.9,921.8498,0.733,253.3,0.004,0.2,0
2024-12-04 12:40:00+00,22.52,81.7,921.8645,0.699,241.6,0.0,0.2,0
2024-12-04 12:50:00+00,22.51,81.6,921.9093,0.79,252.5,0.362,0.2,0
2024-12-04 13:01:00+00,22.5,81.6,921.9474,0.922,266.8,1.084,0.2,0
2024-12-04 13:10:00+00,22.54,81.6,922.057,0.796,265.8,1.808,0.2,0
2024-12-04 13:20:00+00,22.58,81.3,922.0768,0.864,273.5,1.706,0.2,0
2024-12-04 13:30:00+00,22.64,81.0,922.0424,0.335,252.1,1.251,0.2,0
