date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 00:00:00+00,,,,,,,0.0
2024-01-01 00:10:00+00,26.46,86.5,963.7708,0.018,209.1,279.8,11.2
2024-01-01 00:20:00+00,26.51,85.8,963.9435,0.529,284.0,354.4,0.0
2024-01-01 00:30:00+00,26.39,86.1,964.1112,0.464,279.2,328.9,0.0
2024-01-01 00:40:00+00,26.45,84.8,964.158,0.714,275.9,277.3,0.0
2024-01-01 00:50:00+00,26.22,86.7,964.3426,0.825,264.0,276.1,0.0
2024-01-01 01:00:00+00,26.78,84.6,964.4377,0.673,244.3,438.1,0.0
2024-01-01 01:10:00+00,26.75,85.8,964.4798,0.946,271.1,403.1,0.0
2024-01-01 01:20:00+00,26.79,85.5,964.6322,0.739,280.8,389.8,0.0
2024-01-01 01:30:00+00,26.86,84.5,964.8469,0.685,245.9,360.0,0.0
2024-01-01 01:40:00+00,27.2,82.9,964.865,0.687,222.3,469.6,0.0
2024-01-01 01:50:00+00,27.24,82.7,965.0306,1.171,251.6,471.2,0.0
2024-01-01 02:00:00+00,27.41,82.4,965.1071,0.659,238.2,507.4,0.0
2024-01-01 02:10:00+00,27.64,80.7,965.1948,1.187,188.8,657.2,0.0
2024-01-01 02:20:00+00,27.83,83.0,965.1833,0.983,253.3,676.8,0.0
2024-01-01 02:30:00+00,28.16,81.3,965.111,1.103,218.0,808.0,0.0
2024-01-01 02:40:00+00,28.53,80.0,964.9958,0.723,232.8,842.0,0.0
2024-01-01 02:50:00+00,28.52,77.33,964.8493,1.048,221.4,462.0,0.0
2024-01-01 03:00:00+00,28.62,76.62,964.6512,0.55,220.7,858.0,0.0
2024-01-01 03:10:00+00,28.5,77.96,964.5923,1.278,229.0,530.1,0.0
2024-01-01 03:20:00+00,28.49,77.22,964.4552,1.574,199.7,513.3,0.0
2024-01-01 03:30:00+00,28.79,74.8,964.2926,1.378,206.6,678.0,0.0
2024-01-01 03:40:00+00,28.61,77.77,964.2423,1.479,209.9,487.9,0.0
2024-01-01 03:50:00+00,29.06,76.63,964.1461,1.527,227.8,924.0,0.0
2024-01-01 04:00:00+00,29.41,75.1,964.0931,1.462,220.8,631.0,0.0
2024-01-01 04:10:00+00,29.18,74.02,963.9603,1.409,225.0,324.9,0.0
2024-01-01 04:20:00+00,29.17,75.67,963.8425,0.713,260.9,333.1,0.0
